"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN MARTIN (000)",42994,274,1012,2582,4985,9156,14145,10840
"De 12 a 14 años (001)",74,,,,,,10,64
"De 15 a 19 años (002)",1616,,,,,,937,679
"De 20 a 24 años (003)",4848,,,,,15,2794,2039
"De 25 a 29 años (004)",5481,,,,,381,3269,1831
"De 30 a 34 años (005)",5529,,,,4,1064,3127,1334
"De 35 a 39 años (006)",5615,,,,119,1982,2448,1066
"De 40 a 44 años (007)",4913,,,3,479,2370,1180,881
"De 45 a 49 años (008)",3868,,,35,1013,1877,335,608
"De 50 y más años (009)",11050,274,1012,2544,3370,1467,45,2338
"Sin nivel (010)",2158,59,164,319,359,333,289,635
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",21,,,,,,12,9
"De 20 a 24 años (013)",55,,,,,,27,28
"De 25 a 29 años (014)",82,,,,,5,51,26
"De 30 a 34 años (015)",98,,,,,18,53,27
"De 35 a 39 años (016)",133,,,,1,35,64,33
"De 40 a 44 años (017)",147,,,1,10,57,50,29
"De 45 a 49 años (018)",160,,,,21,78,27,34
"De 50 y más años (019)",1461,59,164,318,327,140,5,448
"Educacion Inicial (020)",50,,,,,2,25,23
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",7,,,,,,3,4
"De 20 a 24 años (023)",12,,,,,,5,7
"De 25 a 29 años (024)",13,,,,,1,7,5
"De 30 a 34 años (025)",11,,,,,,8,3
"De 35 a 39 años (026)",5,,,,,1,1,3
"Primaria (030)",16369,173,705,1571,2412,3684,4642,3182
"De 12 a 14 años (031)",38,,,,,,6,32
"De 15 a 19 años (032)",530,,,,,,327,203
"De 20 a 24 años (033)",1172,,,,,4,808,360
"De 25 a 29 años (034)",1501,,,,,127,1057,317
"De 30 a 34 años (035)",1664,,,,1,330,1036,297
"De 35 a 39 años (036)",1817,,,,34,707,803,273
"De 40 a 44 años (037)",1776,,,2,165,908,430,271
"De 45 a 49 años (038)",1521,,,14,371,776,150,210
"De 50 y más años (039)",6350,173,705,1555,1841,832,25,1219
"Secundaria (040)",14884,28,99,436,1418,3192,5949,3762
"De 12 a 14 años (041)",33,,,,,,3,30
"De 15 a 19 años (042)",974,,,,,,567,407
"De 20 a 24 años (043)",2372,,,,,8,1503,861
"De 25 a 29 años (044)",2215,,,,,169,1389,657
"De 30 a 34 años (045)",2079,,,,3,490,1103,483
"De 35 a 39 años (046)",2124,,,,66,796,871,391
"De 40 a 44 años (047)",1782,,,,223,833,404,322
"De 45 a 49 años (048)",1321,,,18,404,591,98,210
