"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",12955,2311,97,4886,3671,470,742,236,542
"Agric., ganadería, caza y silvicultura (001)",7549,2126,86,3764,1384,67,47,22,53
"Pesca (002)",146,8,1,69,59,4,1,2,2
"Explotación de minas y canteras (003)",34,2,,8,19,2,1,1,1
"Industrias manufactureras (004)",503,27,1,154,247,27,25,15,7
"Suministro de electricidad, gas y agua (005)",17,,,4,10,2,,,1
"Construcción (006)",442,10,1,77,265,43,16,12,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1050,34,3,256,542,76,69,35,35
"Venta, mant.y rep. veh.autom.y motoc. (008)",104,1,1,9,56,9,14,3,11
"Comercio al por mayor (009)",52,,,9,30,7,1,3,2
"Comercio al por menor (010)",894,33,2,238,456,60,54,29,22
"Hoteles y restaurantes (011)",321,9,,105,167,10,15,8,7
"Trans., almac. y comunicaciones (012)",657,1,,111,433,48,37,17,10
"Intermediación financiera (013)",4,,,,2,,,1,1
"Activid.inmobil., empres. y de alquiler (014)",146,1,1,6,46,18,20,18,36
"Admin.pub. y defensa; p. segur.soc.afil (015)",442,6,,59,122,36,120,22,77
"Enseñanza (016)",719,1,,1,43,85,311,51,227
"Servicios sociales y de salud (017)",118,1,,1,13,5,40,13,45
"Otras activ. serv.comun.soc y personales (018)",147,1,,43,63,14,11,7,8
"Hogares privados con servicio doméstico (019)",211,20,3,78,98,7,4,,1
"Organiz. y organos extraterritoriales (020)",1,,,,,,1,,
"Actividad economica no especificada (021)",448,64,1,150,158,26,24,12,13
"Hombres (022)",8875,1354,47,3345,2787,318,486,173,365
"Agric., ganadería, caza y silvicultura (023)",5360,1284,42,2688,1179,62,42,21,42
"Pesca (024)",138,6,1,65,57,4,1,2,2
"Explotación de minas y canteras (025)",13,,,1,7,2,1,1,1
"Industrias manufactureras (026)",435,17,,133,220,22,22,14,7
"Suministro de electricidad, gas y agua (027)",17,,,4,10,2,,,1
"Construcción (028)",420,8,1,71,253,41,16,12,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",528,8,2,113,291,35,39,19,21
"Venta, mant.y rep. veh.autom.y motoc. (030)",87,,1,8,46,9,12,3,8
"Comercio al por mayor (031)",37,,,5,22,5,1,2,2
"Comercio al por menor (032)",404,8,1,100,223,21,26,14,11
"Hoteles y restaurantes (033)",81,2,,23,40,5,5,4,2
"Trans., almac. y comunicaciones (034)",623,1,,104,415,45,33,17,8
"Intermediación financiera (035)",4,,,,2,,,1,1
"Activid.inmobil., empres. y de alquiler (036)",112,1,,4,32,12,14,16,33
"Admin.pub. y defensa; p. segur.soc.afil (037)",333,3,,34,92,23,102,18,61
"Enseñanza (038)",384,1,,,18,39,169,27,130
"Servicios sociales y de salud (039)",68,,,,11,1,22,10,24
"Otras activ. serv.comun.soc y personales (040)",66,,,15,27,10,7,3,4
"Hogares privados con servicio doméstico (041)",31,1,,15,15,,,,
"Actividad economica no especificada (043)",262,22,1,75,118,15,13,8,10
"Mujeres (044)",4080,957,50,1541,884,152,256,63,177
