"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ATALAYA (000)",21163,10656,42,194,8722,715,9,10,50,765
"Hombres (001)",9021,5661,32,98,2347,371,7,6,50,449
"Mujeres (002)",12142,4995,10,96,6375,344,2,4,,316
"De 06 a 14 años (003)",10127,8633,,,407,633,,2,,452
"Hombres (004)",5256,4528,,,166,325,,2,,235
"Mujeres (005)",4871,4105,,,241,308,,,,217
"De 15 a 29 años (006)",6196,1917,4,89,3965,,3,1,50,167
"Hombres (007)",2186,1082,3,42,904,,2,,50,103
"Mujeres (008)",4010,835,1,47,3061,,1,1,,64
"De 30 a 44 años (009)",2629,76,9,50,2424,,4,,,66
"Hombres (010)",749,37,5,22,629,,4,,,52
"Mujeres (011)",1880,39,4,28,1795,,,,,14
"De 45 a 64 años (012)",1672,29,11,37,1529,4,2,3,,57
"Hombres (013)",580,14,10,21,483,1,1,3,,47
"Mujeres (014)",1092,15,1,16,1046,3,1,,,10
"De 65 y más años (015)",539,1,18,18,397,78,,4,,23
"Hombres (016)",250,,14,13,165,45,,1,,12
"Mujeres (017)",289,1,4,5,232,33,,3,,11
,,,,,,,,,,
"AREA URBANA (018)",7249,4104,30,87,2713,102,4,8,49,152
"Hombres (019)",3040,2147,20,45,634,51,3,4,49,87
"Mujeres (020)",4209,1957,10,42,2079,51,1,4,,65
"De 06 a 14 años (021)",3326,3094,,,115,67,,1,,49
"Hombres (022)",1697,1597,,,46,29,,1,,24
"Mujeres (023)",1629,1497,,,69,38,,,,25
"De 15 a 29 años (024)",2268,966,2,33,1173,,,1,49,44
"Hombres (025)",842,528,1,16,228,,,,49,20
"Mujeres (026)",1426,438,1,17,945,,,1,,24
"De 30 a 44 años (027)",867,28,6,22,786,,2,,,23
"Hombres (028)",215,14,2,7,173,,2,,,17
"Mujeres (029)",652,14,4,15,613,,,,,6
"De 45 a 64 años (030)",554,16,9,21,477,1,2,2,,26
"Hombres (031)",177,8,8,15,123,1,1,2,,19
"Mujeres (032)",377,8,1,6,354,,1,,,7
"De 65 y más años (033)",234,,13,11,162,34,,4,,10
"Hombres (034)",109,,9,7,64,21,,1,,7
"Mujeres (035)",125,,4,4,98,13,,3,,3
,,,,,,,,,,
"AREA RURAL (036)",13914,6552,12,107,6009,613,5,2,1,613
"Hombres (037)",5981,3514,12,53,1713,320,4,2,1,362
"Mujeres (038)",7933,3038,,54,4296,293,1,,,251
"De 06 a 14 años (039)",6801,5539,,,292,566,,1,,403
"Hombres (040)",3559,2931,,,120,296,,1,,211
"Mujeres (041)",3242,2608,,,172,270,,,,192
"De 15 a 29 años (042)",3928,951,2,56,2792,,3,,1,123
"Hombres (043)",1344,554,2,26,676,,2,,1,83
"Mujeres (044)",2584,397,,30,2116,,1,,,40
"De 30 a 44 años (045)",1762,48,3,28,1638,,2,,,43
"Hombres (046)",534,23,3,15,456,,2,,,35
"Mujeres (047)",1228,25,,13,1182,,,,,8
"De 45 a 64 años (048)",1118,13,2,16,1052,3,,1,,31
"Hombres (049)",403,6,2,6,360,,,1,,28
"Mujeres (050)",715,7,,10,692,3,,,,3
"De 65 y más años (051)",305,1,5,7,235,44,,,,13
"Hombres (052)",141,,5,6,101,24,,,,5
"Mujeres (053)",164,1,,1,134,20,,,,8
