"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OTUZCO (000)",28553,26447,956,622,528
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",45,,7,7,31
"Profes., científicos e intelectuales (002)",1081,425,232,285,139
"Técnicos de nivel medio y trab. asimilados (003)",309,173,41,29,66
"Jefes y empleados de oficina (004)",212,39,20,27,126
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1675,1600,47,17,11
"Agricult.trabaj.calif.agrop.y pesqueros (006)",13373,13244,128,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",946,753,115,55,23
"Obreros construc.,conf.,papel, fab., instr. (008)",686,552,66,35,33
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",9405,8921,271,154,59
"Otra (010)",34,,,,34
"Ocupación no especificada (011)",787,740,29,12,6
"Hombres (012)",22763,21239,733,451,340
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,,3,7,26
"Profes., científicos e intelectuales (014)",517,183,115,152,67
"Técnicos de nivel medio y trab. asimilados (015)",200,119,32,24,25
"Jefes y empleados de oficina (016)",123,18,9,16,80
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",624,575,30,11,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",12930,12806,123,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",768,584,110,55,19
"Obreros construc.,conf.,papel, fab., instr. (020)",629,499,63,35,32
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6716,6298,232,141,45
"Otra (022)",34,,,,34
"Ocupación no especificada (023)",186,157,16,9,4
"Mujeres (024)",5790,5208,223,171,188
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,4,,5
"Profes., científicos e intelectuales (026)",564,242,117,133,72
"Técnicos de nivel medio y trab. asimilados (027)",109,54,9,5,41
"Jefes y empleados de oficina (028)",89,21,11,11,46
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1051,1025,17,6,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",443,438,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",178,169,5,,4
"Obreros construc.,conf.,papel, fab., instr. (032)",57,53,3,,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2689,2623,39,13,14
