"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TALARA (000)",42659,415,13999,14884,12138,1223
"Agric., ganadería, caza y silvicultura (001)",456,12,126,113,142,63
"Pesca (002)",5021,80,2292,1729,855,65
"Explotación de minas y canteras (003)",2276,,473,690,1079,34
"Industrias manufactureras (004)",3052,30,999,948,942,133
"Suministro de electricidad, gas y agua (005)",192,,39,54,93,6
"Construcción (006)",3493,9,1061,1246,1079,98
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7887,148,2473,2700,2251,315
"Venta, mant.y rep. veh.autom.y motoc. (008)",1339,10,478,420,408,23
"Comercio al por mayor (009)",466,7,164,165,117,13
"Comercio al por menor (010)",6082,131,1831,2115,1726,279
"Hoteles y restaurantes (011)",2665,36,902,935,698,94
"Trans., almac. y comunicaciones (012)",5256,48,1879,1737,1518,74
"Intermediación financiera (013)",213,,84,87,39,3
"Activid.inmobil., empres. y alquileres (014)",3926,8,1259,1588,998,73
"Admin.pub. y defensa; p. segur.soc.afil (015)",1616,,403,634,538,41
"Enseñanza (016)",1888,,436,798,612,42
"Servicios sociales y de salud (017)",604,,141,244,197,22
"Otras activ. serv.comun.soc y personales (018)",1898,18,648,648,508,76
"Hogares privados con servicio doméstico (019)",974,24,390,309,228,23
"Actividad economica no especificada (021)",1242,2,394,424,361,61
"Hombres (022)",31064,321,10140,10538,9144,921
"Agric., ganadería, caza y silvicultura (023)",414,9,112,104,128,61
"Pesca (024)",4909,79,2242,1684,840,64
"Explotación de minas y canteras (025)",2161,,428,651,1049,33
"Industrias manufactureras (026)",2482,26,865,757,725,109
"Suministro de electricidad, gas y agua (027)",175,,32,50,87,6
"Construcción (028)",3403,9,1026,1206,1064,98
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4693,105,1508,1479,1401,200
"Venta, mant.y rep. veh.autom.y motoc. (030)",1257,10,433,395,397,22
"Comercio al por mayor (031)",299,5,109,102,75,8
"Comercio al por menor (032)",3137,90,966,982,929,170
"Hoteles y restaurantes (033)",985,18,325,346,257,39
"Trans., almac. y comunicaciones (034)",4913,48,1670,1661,1460,74
"Intermediación financiera (035)",90,,22,44,21,3
"Activid.inmobil., empres. y alquileres (036)",3045,8,896,1238,835,68
"Admin.pub. y defensa; p. segur.soc.afil (037)",1124,,247,416,425,36
"Enseñanza (038)",558,,97,196,238,27
"Servicios sociales y de salud (039)",202,,37,67,81,17
