"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUTERVO (000)",137853,26520,111333
"Casa independiente (001)",126202,25641,100561
"Departamento en edificio (002)",316,316,
"Vivienda en quinta (003)",221,221,
"Vivienda en casa de vecindad (004)",300,300,
"Choza o cabaña (005)",10716,,10716
"Vivienda improvisada (006)",15,15,
"Local no dest.para hab. humana (007)",80,26,54
"Otro tipo (008)",3,1,2
