"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia BARRANCA (000)",133904,67138,66766,114260,56823,57437,19644,10315,9329
"Menores de 1 año (001)",2318,1187,1131,1924,974,950,394,213,181
"Menores de 1 mes (002)",175,81,94,134,64,70,41,17,24
"De 1 a 11 meses (003)",2143,1106,1037,1790,910,880,353,196,157
"De 1 a 4 años (004)",10004,4949,5055,8370,4168,4202,1634,781,853
"1 año (005)",2393,1166,1227,1999,981,1018,394,185,209
"2 años (006)",2673,1317,1356,2219,1104,1115,454,213,241
"3 años (007)",2566,1274,1292,2131,1055,1076,435,219,216
"4 años (008)",2372,1192,1180,2021,1028,993,351,164,187
"De 5 a 9 años (009)",11663,5928,5735,9909,5004,4905,1754,924,830
"5 años (010)",2367,1228,1139,2001,1040,961,366,188,178
"6 años (011)",2184,1140,1044,1901,997,904,283,143,140
"7 años (012)",2357,1178,1179,1976,967,1009,381,211,170
"8 años (013)",2366,1198,1168,1983,995,988,383,203,180
"9 años (014)",2389,1184,1205,2048,1005,1043,341,179,162
"De 10 a 14 años (015)",13907,7042,6865,11796,5934,5862,2111,1108,1003
"10 años (016)",2804,1435,1369,2371,1211,1160,433,224,209
"11 años (017)",2620,1321,1299,2231,1106,1125,389,215,174
"12 años (018)",2926,1496,1430,2434,1242,1192,492,254,238
"13 años (019)",2764,1376,1388,2364,1180,1184,400,196,204
"14 años (020)",2793,1414,1379,2396,1195,1201,397,219,178
"De 15 a 19 años (021)",13300,6754,6546,11307,5696,5611,1993,1058,935
"15 años (022)",2965,1494,1471,2541,1279,1262,424,215,209
"16 años (023)",2739,1389,1350,2323,1169,1154,416,220,196
"17 años (024)",2527,1285,1242,2137,1088,1049,390,197,193
"18 años (025)",2597,1335,1262,2194,1103,1091,403,232,171
"19 años (026)",2472,1251,1221,2112,1057,1055,360,194,166
"De 20 a 24 años (027)",11894,6021,5873,10057,5050,5007,1837,971,866
"20 años (028)",2583,1294,1289,2187,1078,1109,396,216,180
"21 años (029)",2223,1105,1118,1905,962,943,318,143,175
"22 años (030)",2488,1259,1229,2097,1052,1045,391,207,184
"23 años (031)",2277,1139,1138,1912,942,970,365,197,168
"24 años (032)",2323,1224,1099,1956,1016,940,367,208,159
"De 25 a 29 años (033)",10891,5400,5491,9202,4503,4699,1689,897,792
"25 años (034)",2272,1116,1156,1901,918,983,371,198,173
"26 años (035)",2130,1013,1117,1795,850,945,335,163,172
"27 años (036)",2371,1208,1163,2006,1004,1002,365,204,161
"28 años (037)",2087,1066,1021,1775,899,876,312,167,145
"29 años (038)",2031,997,1034,1725,832,893,306,165,141
"De 30 a 34 años (039)",9912,4917,4995,8421,4102,4319,1491,815,676
