"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PACHITEA (000)",19450,18937,5993,2501,2083,1634,2470,1796,1282,1178,513,58236
"De 12 a 14 años (001)",2419,2408,2397,11,,,,,,,11,11
"De 15 a 19 años (002)",2920,2877,2194,567,103,12,1,,,,43,813
"De 20 a 24 años (003)",2664,2511,697,903,612,222,71,6,,,153,3129
"De 25 a 29 años (004)",2273,2146,248,431,572,449,385,59,2,,127,4953
"De 30 a 34 años (005)",1808,1754,115,209,310,324,517,217,51,11,54,5982
"De 35 a 39 años (006)",1659,1624,81,116,172,229,476,350,149,51,35,7318
"De 40 a 44 años (007)",1262,1242,39,64,76,130,296,287,213,137,20,7089
"De 45 a 49 años (008)",1061,1045,47,45,61,66,210,218,196,202,16,6653
"De 50 y más años (009)",3384,3330,175,155,177,202,514,659,671,777,54,22288
"Conviviente (010)",5732,5638,384,1280,1214,843,997,527,238,155,94,17705
"De 12 a 14 años (011)",31,23,17,6,,,,,,,8,6
"De 15 a 19 años (012)",615,578,146,332,87,12,1,,,,37,546
"De 20 a 24 años (013)",1350,1328,116,533,456,175,44,4,,,22,2175
"De 25 a 29 años (014)",1229,1215,47,227,362,289,250,38,2,,14,3138
"De 30 a 34 años (015)",832,826,19,93,157,172,254,99,28,4,6,2929
"De 35 a 39 años (016)",661,658,11,41,86,104,222,121,57,16,3,2937
"De 40 a 44 años (017)",389,387,4,18,28,44,103,102,56,32,2,2150
"De 45 a 49 años (018)",239,238,6,10,17,18,52,69,33,33,1,1427
"De 50 y más años (019)",386,385,18,20,21,29,71,94,62,70,1,2397
"Separado(a) (020)",831,812,22,270,160,108,114,73,39,26,19,2516
"De 12 a 14 años (021)",4,3,1,2,,,,,,,1,2
"De 15 a 19 años (022)",60,58,2,54,2,,,,,,2,58
