"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TACNA (000)",113629,3379,88,16196,43103,8941,13442,9095,19385
"Agric., ganadería, caza y silvicultura (001)",11998,1013,15,3506,4893,629,657,536,749
"Pesca (002)",558,17,,89,290,41,32,31,58
"Explotación de minas y canteras (003)",291,2,,15,81,18,46,30,99
"Industrias manufactureras (004)",7222,113,9,825,3566,657,778,593,681
"Suministro de electricidad, gas y agua (005)",349,2,,11,89,23,72,44,108
"Construcción (006)",8185,156,3,1497,4091,614,653,446,725
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32443,1284,34,5702,13745,2864,3400,2549,2865
"Venta, mant.y rep. veh.autom.y motoc. (008)",4482,35,5,317,1983,531,754,375,482
"Comercio al por mayor (009)",1585,28,,130,583,158,218,190,278
"Comercio al por menor (010)",26376,1221,29,5255,11179,2175,2428,1984,2105
"Hoteles y restaurantes (011)",7650,322,8,1546,3568,635,597,553,421
"Trans., almac. y comunicaciones (012)",10969,103,4,1211,5426,982,1075,1051,1117
"Intermediación financiera (013)",780,,,8,84,52,93,144,399
"Activid.inmobil., empres. y de alquiler (014)",5693,15,2,116,989,520,840,767,2444
"Admin.pub. y defensa; p. segur.soc.afil (015)",6203,28,2,152,1262,411,1316,782,2250
"Enseñanza (016)",7933,2,,18,388,378,2184,471,4492
"Servicios sociales y de salud (017)",2998,9,,52,243,161,609,207,1717
"Otras activ. serv.comun.soc y personales (018)",3219,100,3,384,1189,374,371,341,457
"Hogares privados con servicio doméstico (019)",3411,130,6,663,1888,257,218,143,106
"Organiz. y organos extraterritoriales (020)",4,,,,,,1,1,2
"Actividad economica no especificada (021)",3723,83,2,401,1311,325,500,406,695
"Hombres (022)",64978,954,40,7865,26920,5446,7240,5741,10772
"Agric., ganadería, caza y silvicultura (023)",7933,343,9,2069,3512,475,491,426,608
"Pesca (024)",502,14,,78,275,36,26,29,44
"Explotación de minas y canteras (025)",270,2,,15,76,17,44,26,90
"Industrias manufactureras (026)",5186,51,6,576,2717,476,490,415,455
"Suministro de electricidad, gas y agua (027)",291,1,,9,84,21,59,35,82
"Construcción (028)",7927,151,3,1452,4001,597,624,426,673
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14492,188,14,1670,6554,1466,1737,1366,1497
"Venta, mant.y rep. veh.autom.y motoc. (030)",4008,26,5,282,1814,474,671,320,416
"Comercio al por mayor (031)",848,3,,41,329,92,117,115,151
"Comercio al por menor (032)",9636,159,9,1347,4411,900,949,931,930
"Hoteles y restaurantes (033)",2427,24,3,285,1229,258,208,255,165
"Trans., almac. y comunicaciones (034)",9786,96,2,1133,5044,850,880,903,878
"Intermediación financiera (035)",401,,,4,53,23,34,82,205
"Activid.inmobil., empres. y de alquiler (036)",3863,7,2,80,729,384,529,548,1584
"Admin.pub. y defensa; p. segur.soc.afil (037)",4349,19,,109,1011,278,946,546,1440
"Enseñanza (038)",2948,1,,15,168,148,674,171,1771
"Servicios sociales y de salud (039)",999,3,,14,82,41,130,82,647
