"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ATALAYA (000)",12955,843,5157,4250,2379,326
"Agric., ganadería, caza y silvicultura (001)",7549,727,3094,2125,1377,226
"Pesca (002)",146,9,56,56,22,3
"Explotación de minas y canteras (003)",34,,15,13,6,
"Industrias manufactureras (004)",503,14,209,166,106,8
"Suministro de electricidad, gas y agua (005)",17,,6,7,4,
"Construcción (006)",442,7,194,145,88,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1050,32,362,386,235,35
"Venta, mant.y rep. veh.autom.y motoc. (008)",104,1,44,34,20,5
"Comercio al por mayor (009)",52,,22,17,13,
"Comercio al por menor (010)",894,31,296,335,202,30
"Hoteles y restaurantes (011)",321,17,128,110,62,4
"Trans., almac. y comunicaciones (012)",657,7,276,245,123,6
"Intermediación financiera (013)",4,,1,,3,
"Activid.inmobil., empres. y alquileres (014)",146,,62,56,28,
"Admin.pub. y defensa; p. segur.soc.afil (015)",442,,134,218,84,6
"Enseñanza (016)",719,,196,423,97,3
"Servicios sociales y de salud (017)",118,,42,60,15,1
"Otras activ. serv.comun.soc y personales (018)",147,8,69,47,21,2
"Hogares privados con servicio doméstico (019)",211,18,114,53,22,4
"Organiz. y organos extraterritoriales (020)",1,,,1,,
"Actividad economica no especificada (021)",448,4,199,139,86,20
"Hombres (022)",8875,509,3413,2938,1759,256
"Agric., ganadería, caza y silvicultura (023)",5360,434,2163,1538,1038,187
"Pesca (024)",138,9,52,54,20,3
"Explotación de minas y canteras (025)",13,,4,5,4,
"Industrias manufactureras (026)",435,13,190,138,86,8
"Suministro de electricidad, gas y agua (027)",17,,6,7,4,
"Construcción (028)",420,7,184,138,84,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",528,21,152,190,142,23
"Venta, mant.y rep. veh.autom.y motoc. (030)",87,1,32,32,18,4
"Comercio al por mayor (031)",37,,15,12,10,
"Comercio al por menor (032)",404,20,105,146,114,19
"Hoteles y restaurantes (033)",81,8,34,23,14,2
"Trans., almac. y comunicaciones (034)",623,7,253,237,120,6
"Intermediación financiera (035)",4,,1,,3,
"Activid.inmobil., empres. y alquileres (036)",112,,38,48,26,
"Admin.pub. y defensa; p. segur.soc.afil (037)",333,,90,171,67,5
"Enseñanza (038)",384,,76,235,71,2
"Servicios sociales y de salud (039)",68,,20,35,12,1
"Otras activ. serv.comun.soc y personales (040)",66,3,28,21,12,2
