"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CARABAYA (000)",63010,17140,20324,13569,8386,3591
"Sin nivel (001)",7221,482,537,1319,2668,2215
"Educación inicial (002)",992,953,17,22,,
"Primaria (003)",32336,13234,6091,7419,4335,1257
"Secundaria (004)",19037,2471,12062,3434,984,86
"Superior no univ. incompleta (005)",984,,636,268,74,6
"Superior no univ. completa (006)",862,,329,433,94,6
"Superior univ. incompleta (007)",613,,382,171,56,4
"Superior univ. completa (008)",965,,270,503,175,17
"PEA (010)",27265,690,10048,9368,5575,1584
"Sin nivel (011)",3292,63,309,721,1384,815
"Educación inicial (012)",27,9,7,11,,
"Primaria (013)",12662,546,3567,4791,3048,710
"Secundaria (014)",8848,72,5304,2640,787,45
"Superior no univ. incompleta (015)",532,,252,211,67,2
"Superior no univ. completa (016)",731,,259,386,83,3
"Superior univ. incompleta (017)",323,,129,143,49,2
"Superior univ. completa (018)",850,,221,465,157,7
"Ocupada (020)",24576,637,8578,8603,5246,1512
"Sin nivel (021)",3167,52,294,697,1337,787
"Educación inicial (022)",20,4,6,10,,
"Primaria (023)",11608,519,3185,4388,2848,668
"Secundaria (024)",7518,62,4341,2361,710,44
"Superior no univ. incompleta (025)",479,,219,194,64,2
"Superior no univ. completa (026)",676,,222,368,83,3
"Superior univ. incompleta (027)",290,,106,134,48,2
"Superior univ. completa (028)",818,,205,451,156,6
"Desocupada (030)",2689,53,1470,765,329,72
"Sin nivel (031)",125,11,15,24,47,28
