"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAYACAJA (000)",104406,25197,79209
"Casa independiente (001)",98964,24195,74769
"Departamento en edificio (002)",12,12,
"Vivienda en quinta (003)",330,330,
"Vivienda en casa de vecindad (004)",618,618,
"Choza o cabaña (005)",4415,,4415
"Vivienda improvisada (006)",33,33,
"Local no dest.para hab. humana (007)",30,9,21
"Otro tipo (008)",4,,4
