"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,4430,649,368,668
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,6,4,11
"Profes., científicos e intelectuales (002)",400,126,71,95,108
"Técnicos de nivel medio y trab. asimilados (003)",197,84,24,33,56
"Jefes y empleados de oficina (004)",260,32,25,36,167
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",768,646,64,41,17
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1043,974,67,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",256,207,12,4,33
"Obreros construc.,conf.,papel, fab., instr. (008)",749,563,104,52,30
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2233,1671,262,99,201
"Otra (010)",37,,,,37
"Ocupación no especificada (011)",151,127,14,3,7
"Hombres (012)",4648,3499,516,256,377
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",14,,5,4,5
"Profes., científicos e intelectuales (014)",192,61,31,49,51
"Técnicos de nivel medio y trab. asimilados (015)",122,56,13,20,33
"Jefes y empleados de oficina (016)",137,17,10,22,88
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",379,292,41,32,14
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1009,941,66,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",215,185,12,1,17
"Obreros construc.,conf.,papel, fab., instr. (020)",715,533,102,51,29
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1747,1346,227,74,100
"Otra (022)",36,,,,36
"Ocupación no especificada (023)",82,68,9,2,3
"Mujeres (024)",1467,931,133,112,291
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,1,,6
"Profes., científicos e intelectuales (026)",208,65,40,46,57
"Técnicos de nivel medio y trab. asimilados (027)",75,28,11,13,23
"Jefes y empleados de oficina (028)",123,15,15,14,79
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",389,354,23,9,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",34,33,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",41,22,,3,16
"Obreros construc.,conf.,papel, fab., instr. (032)",34,30,2,1,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",486,325,35,25,101
