"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SATIPO (000)",70150,5982,86,26054,29486,1848,2230,1297,3167
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",72,,,6,8,6,9,7,36
"Profes., científicos e intelectuales (002)",3075,,,,74,181,526,300,1994
"Técnicos de nivel medio ytrab.asimilados (003)",1149,9,1,64,307,153,335,115,165
"Jefes y empleados de oficina (004)",713,,,4,203,101,167,85,153
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",5006,183,5,1178,2730,293,247,196,174
"Agricult.trabaj. calif.agrop. y pesquros (006)",26138,3077,20,12535,9655,329,203,134,185
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2368,77,4,524,1393,115,125,60,70
"Obreros. construc., conf., papel, fab., instr (008)",3186,48,1,612,2139,124,120,83,59
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",26565,2353,52,10661,12385,471,242,225,176
"Otra (010)",544,,,,113,30,216,56,129
"Ocupación no especificada (011)",1334,235,3,470,479,45,40,36,26
"Hombres (012)",53836,3873,48,20535,23892,1273,1376,902,1937
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",50,,,5,6,2,6,5,26
"Profes., científicos e intelectuales (014)",1624,,,,28,78,251,184,1083
"Técnicos de nivel medio ytrab.asimilados (015)",735,2,,30,204,113,190,82,114
"Jefes y empleados de oficina (016)",327,,,,107,44,53,40,83
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1899,32,1,310,1124,126,108,104,94
"Agricult.trabaj. calif.agrop. y pesquros (018)",24073,2610,17,11584,9078,299,191,124,170
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2059,21,3,443,1264,102,111,53,62
"Obreros. construc., conf., papel, fab., instr (020)",3093,26,1,582,2111,123,115,80,55
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",19191,1156,26,7515,9691,350,167,160,126
"Otra (022)",454,,,,104,19,171,47,113
"Ocupación no especificada (023)",331,26,,66,175,17,13,23,11
"Mujeres (024)",16314,2109,38,5519,5594,575,854,395,1230
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",22,,,1,2,4,3,2,10
"Profes., científicos e intelectuales (026)",1451,,,,46,103,275,116,911
"Técnicos de nivel medio ytrab.asimilados (027)",414,7,1,34,103,40,145,33,51
"Jefes y empleados de oficina (028)",386,,,4,96,57,114,45,70
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",3107,151,4,868,1606,167,139,92,80
"Agricult.trabaj. calif.agrop. y pesquros (030)",2065,467,3,951,577,30,12,10,15
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",309,56,1,81,129,13,14,7,8
"Obreros. construc., conf., papel, fab., instr (032)",93,22,,30,28,1,5,3,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",7374,1197,26,3146,2694,121,75,65,50
"Otra (034)",90,,,,9,11,45,9,16
"Ocupación no especificada (035)",1003,209,3,404,304,28,27,13,15
,,,,,,,,,
"URBANA (036)",21200,642,26,4841,9742,1068,1567,963,2351
