"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TRUJILLO (000)",191278,185388,5890
"Casa independiente (001)",173144,167417,5727
"Departamento en edificio (002)",10681,10681,
"Vivienda en quinta (003)",3366,3366,
"Vivienda en casa de vecindad (004)",2131,2131,
"Choza o cabaña (005)",157,,157
"Vivienda improvisada (006)",1400,1400,
"Local no dest.para hab. humana (007)",374,369,5
"Otro tipo (008)",25,24,1
