"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JUNIN (000)",9244,81,2455,3064,2680,964
"Agric., ganadería, caza y silvicultura (001)",4189,42,962,1128,1322,735
"Pesca (002)",1,,,1,,
"Explotación de minas y canteras (003)",126,,57,47,21,1
"Industrias manufactureras (004)",343,2,117,98,93,33
"Suministro de electricidad, gas y agua (005)",36,,,9,27,
"Construcción (006)",389,,115,163,101,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1269,20,346,440,378,85
"Venta, mant.y rep. veh.autom.y motoc. (008)",146,,64,36,40,6
"Comercio al por mayor (009)",53,,10,26,14,3
"Comercio al por menor (010)",1070,20,272,378,324,76
"Hoteles y restaurantes (011)",334,6,85,119,105,19
"Trans., almac. y comunicaciones (012)",708,5,266,271,152,14
"Intermediación financiera (013)",8,,2,2,3,1
"Activid.inmobil., empres. y alquileres (014)",168,,56,73,34,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",371,,144,118,107,2
"Enseñanza (016)",622,,101,352,165,4
"Servicios sociales y de salud (017)",162,,37,74,47,4
"Otras activ. serv.comun.soc y personales (018)",231,1,71,85,62,12
"Hogares privados con servicio doméstico (019)",86,5,33,23,21,4
"Actividad economica no especificada (021)",201,,63,61,42,35
"Hombres (022)",6221,37,1691,2022,1812,659
"Agric., ganadería, caza y silvicultura (023)",3183,23,752,882,983,543
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",125,,56,47,21,1
"Industrias manufactureras (026)",257,2,89,76,75,15
"Suministro de electricidad, gas y agua (027)",36,,,9,27,
"Construcción (028)",387,,115,162,100,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",557,8,169,167,172,41
"Venta, mant.y rep. veh.autom.y motoc. (030)",137,,60,31,40,6
"Comercio al por mayor (031)",34,,8,14,9,3
"Comercio al por menor (032)",386,8,101,122,123,32
"Hoteles y restaurantes (033)",96,,29,31,31,5
"Trans., almac. y comunicaciones (034)",679,4,246,266,149,14
"Intermediación financiera (035)",3,,,1,1,1
"Activid.inmobil., empres. y alquileres (036)",132,,41,58,28,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",234,,68,81,83,2
"Enseñanza (038)",308,,45,164,95,4
"Servicios sociales y de salud (039)",69,,12,36,17,4
"Otras activ. serv.comun.soc y personales (040)",66,,32,18,12,4
"Hogares privados con servicio doméstico (041)",1,,,,1,
