"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CUSCO (000)",287712,38698,63234,64074,48218,33324,40164
"Católica (001)",250092,33810,53239,55231,42517,29391,35904
"Cristiana/Evangélica (002)",21011,3145,5407,4686,3220,2229,2324
"Otra (003)",9137,1057,2184,2080,1378,1086,1352
"Ninguna (004)",7472,686,2404,2077,1103,618,584
"Hombres (006)",136788,18913,30504,30194,22568,15759,18850
"Católica (007)",117719,16526,25368,25590,19628,13833,16774
"Cristiana/Evangélica (008)",9604,1469,2472,2144,1503,977,1039
"Otra (009)",4514,505,1120,1051,683,513,642
"Ninguna (010)",4951,413,1544,1409,754,436,395
"Mujeres (012)",150924,19785,32730,33880,25650,17565,21314
"Católica (013)",132373,17284,27871,29641,22889,15558,19130
"Cristiana/Evangélica (014)",11407,1676,2935,2542,1717,1252,1285
"Otra (015)",4623,552,1064,1029,695,573,710
"Ninguna (016)",2521,273,860,668,349,182,189
,,,,,,,
"URBANA (018)",276604,36723,61278,61797,46119,32091,38596
"Católica (019)",240768,32174,51619,53368,40758,28312,34537
"Cristiana/Evangélica (020)",19567,2866,5153,4341,2941,2105,2161
"Otra (021)",8929,1025,2143,2034,1342,1062,1323
"Ninguna (022)",7340,658,2363,2054,1078,612,575
"Hombres (024)",131227,17885,29483,29076,21511,15129,18143
"Católica (025)",113005,15651,24510,24673,18750,13266,16155
"Cristiana/Evangélica (026)",8942,1348,2355,1986,1358,925,970
"Otra (027)",4408,492,1097,1024,665,503,627
"Ninguna (028)",4872,394,1521,1393,738,435,391
"Mujeres (030)",145377,18838,31795,32721,24608,16962,20453
"Católica (031)",127763,16523,27109,28695,22008,15046,18382
"Cristiana/Evangélica (032)",10625,1518,2798,2355,1583,1180,1191
"Otra (033)",4521,533,1046,1010,677,559,696
"Ninguna (034)",2468,264,842,661,340,177,184
,,,,,,,
"RURAL (036)",11108,1975,1956,2277,2099,1233,1568
"Católica (037)",9324,1636,1620,1863,1759,1079,1367
"Cristiana/Evangélica (038)",1444,279,254,345,279,124,163
"Otra (039)",208,32,41,46,36,24,29
"Ninguna (040)",132,28,41,23,25,6,9
"Hombres (042)",5561,1028,1021,1118,1057,630,707
"Católica (043)",4714,875,858,917,878,567,619
"Cristiana/Evangélica (044)",662,121,117,158,145,52,69
"Otra (045)",106,13,23,27,18,10,15
"Ninguna (046)",79,19,23,16,16,1,4
"Mujeres (048)",5547,947,935,1159,1042,603,861
"Católica (049)",4610,761,762,946,881,512,748
"Cristiana/Evangélica (050)",782,158,137,187,134,72,94
"Otra (051)",102,19,18,19,18,14,14
"Ninguna (052)",53,9,18,7,9,5,5
