"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia BONGARA (000)",6381,26676,3833,15732,2548,10944
"Casa independiente (001)",6150,25947,3642,15141,2508,10806
"Departamento en edificio (002)",7,21,7,21,,
"Vivienda en quinta (003)",44,157,44,157,,
"Vivienda en casa de vecindad (004)",128,370,128,370,,
"Choza o cabaña (005)",38,134,,,38,134
"Vivienda improvisada (006)",5,18,5,18,,
"Local no dest.para hab. humana (007)",9,29,7,25,2,4
