"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BONGARA (000)",9747,9500,2673,1381,1326,1010,1400,879,485,346,247,26857
"De 12 a 14 años (001)",1018,1012,1008,4,,,,,,,6,4
"De 15 a 19 años (002)",1350,1315,1077,197,34,6,1,,,,35,287
"De 20 a 24 años (003)",1057,977,280,431,195,58,12,1,,,80,1052
"De 25 a 29 años (004)",950,912,96,299,297,135,79,5,1,,38,1681
"De 30 a 34 años (005)",914,895,43,146,276,213,175,42,,,19,2347
"De 35 a 39 años (006)",966,948,39,117,218,195,250,96,27,6,18,3114
"De 40 a 44 años (007)",791,774,35,58,108,147,246,116,54,10,17,3110
"De 45 a 49 años (008)",626,622,21,33,67,89,179,133,64,36,4,3022
"De 50 y más años (009)",2075,2045,74,96,131,167,458,486,339,294,30,12240
"Sin nivel (010)",1222,1192,79,74,95,119,271,239,165,150,30,6476
"De 12 a 14 años (011)",10,9,9,,,,,,,,1,
"De 15 a 19 años (012)",24,22,16,4,1,1,,,,,2,9
"De 20 a 24 años (013)",46,42,12,13,9,6,2,,,,4,57
"De 25 a 29 años (014)",45,45,1,9,14,8,12,1,,,,123
"De 30 a 34 años (015)",79,78,5,5,18,18,22,10,,,1,252
"De 35 a 39 años (016)",108,103,5,5,14,17,35,19,7,1,5,426
"De 40 a 44 años (017)",129,127,6,6,12,15,44,26,14,4,2,603
"De 45 a 49 años (018)",118,117,2,2,3,13,33,30,21,13,1,713
"De 50 y más años (019)",663,649,23,30,24,41,123,153,123,132,14,4293
"Educacion Inicial (020)",14,13,3,3,,2,3,2,,,1,35
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",3,3,2,,,1,,,,,,3
"De 25 a 29 años (024)",1,1,,1,,,,,,,,1
