"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUSCO (000)",154514,3257,117,18860,56571,13013,17163,14206,31327
"Agric., ganadería, caza y silvicultura (001)",6172,809,6,2648,1887,156,143,171,352
"Pesca (002)",7,,,,1,,1,2,3
"Explotación de minas y canteras (003)",317,2,,31,125,16,17,28,98
"Industrias manufactureras (004)",13044,178,6,1670,7002,1198,1067,970,953
"Suministro de electricidad, gas y agua (005)",423,2,1,20,102,25,59,46,168
"Construcción (006)",11494,123,8,2108,6090,720,582,579,1284
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",36973,1205,32,6162,16838,3281,3355,3140,2960
"Venta, mant.y rep. veh.autom.y motoc. (008)",3280,8,1,252,1628,307,522,286,276
"Comercio al por mayor (009)",1841,14,,124,708,174,214,272,335
"Comercio al por menor (010)",31852,1183,31,5786,14502,2800,2619,2582,2349
"Hoteles y restaurantes (011)",13248,429,12,2257,5646,1454,1317,1147,986
"Trans., almac. y comunicaciones (012)",17616,88,12,1054,8319,1731,2120,1790,2502
"Intermediación financiera (013)",1220,1,,,120,68,140,263,628
"Activid.inmobil., empres. y de alquiler (014)",11434,17,1,129,1608,1067,1183,1740,5689
"Admin.pub. y defensa; p. segur.soc.afil (015)",7148,13,,167,1309,550,1096,1206,2807
"Enseñanza (016)",13248,2,,19,520,734,3546,983,7444
"Servicios sociales y de salud (017)",5071,8,1,41,293,327,858,537,3006
"Otras activ. serv.comun.soc y personales (018)",6423,123,4,607,2055,800,801,772,1261
"Hogares privados con servicio doméstico (019)",5005,162,27,1363,2776,321,179,102,75
"Organiz. y organos extraterritoriales (020)",4,,,,1,,,,3
"Actividad economica no especificada (021)",5667,95,7,584,1879,565,699,730,1108
"Hombres (022)",85755,831,46,8963,34480,7310,8500,8923,16702
"Agric., ganadería, caza y silvicultura (023)",4594,358,5,2031,1552,112,107,140,289
"Pesca (024)",5,,,,1,,1,2,1
"Explotación de minas y canteras (025)",286,2,,30,118,14,16,23,83
"Industrias manufactureras (026)",8722,72,4,1074,4882,790,653,661,586
"Suministro de electricidad, gas y agua (027)",363,2,,20,97,21,49,33,141
"Construcción (028)",11099,116,7,2064,5983,699,552,532,1146
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14771,99,15,1522,7213,1383,1459,1629,1451
"Venta, mant.y rep. veh.autom.y motoc. (030)",2969,6,1,209,1509,278,482,252,232
"Comercio al por mayor (031)",1078,5,,56,456,97,91,163,210
"Comercio al por menor (032)",10724,88,14,1257,5248,1008,886,1214,1009
"Hoteles y restaurantes (033)",4941,26,1,379,2134,684,616,633,468
"Trans., almac. y comunicaciones (034)",14001,76,10,956,7383,1290,1409,1398,1479
"Intermediación financiera (035)",608,1,,,58,33,61,156,299
"Activid.inmobil., empres. y de alquiler (036)",7254,11,1,88,1177,709,709,1155,3404
"Admin.pub. y defensa; p. segur.soc.afil (037)",5080,5,,128,1050,392,838,908,1759
"Enseñanza (038)",5421,1,,13,253,313,1131,537,3173
"Servicios sociales y de salud (039)",1667,1,,14,110,104,186,183,1069
