"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYLAS (000)",16097,12416,935,792,1954
"Sin nivel (001)",2183,1993,79,48,63
"Educación inicial (002)",22,15,1,,6
"Primaria (003)",7237,6232,337,255,413
"Secundaria (004)",3656,2815,250,165,426
"Superior no univ. incompleta (005)",500,318,49,29,104
"Superior no univ. completa (006)",1242,529,113,146,454
"Superior univ. incompleta (007)",351,183,34,31,103
"Superior univ. completa (008)",906,331,72,118,385
"De 06 a 14 años (010)",333,316,10,3,4
"Sin nivel (011)",36,34,2,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",259,244,8,3,4
"Secundaria (014)",36,36,,,
"De 15 a 29 años (020)",4968,3720,353,257,638
"Sin nivel (021)",314,272,13,9,20
"Educación inicial (022)",16,11,1,,4
"Primaria (023)",2118,1710,126,106,176
"Secundaria (024)",1751,1336,124,85,206
"Superior no univ. incompleta (025)",190,130,25,9,26
"Superior no univ. completa (026)",309,153,40,24,92
"Superior univ. incompleta (027)",123,65,13,10,35
"Superior univ. completa (028)",147,43,11,14,79
"De 30 a 44 años (030)",5508,3940,356,358,854
"Sin nivel (031)",614,543,26,21,24
"Educación inicial (032)",4,2,,,2
"Primaria (033)",2281,1902,125,97,157
"Secundaria (034)",1201,917,87,60,137
"Superior no univ. incompleta (035)",205,127,17,11,50
"Superior no univ. completa (036)",636,241,53,89,253
"Superior univ. incompleta (037)",128,62,11,14,41
"Superior univ. completa (038)",439,146,37,66,190
"De 45 a 64 años (040)",4049,3262,192,157,438
"Sin nivel (041)",808,743,32,15,18
"Primaria (043)",1905,1721,69,46,69
"Secundaria (044)",582,456,34,15,77
"Superior no univ. incompleta (045)",99,56,6,9,28
"Superior no univ. completa (046)",275,119,19,31,106
"Superior univ. incompleta (047)",89,48,9,5,27
"Superior univ. completa (048)",291,119,23,36,113
"De 65 y más años (050)",1239,1178,24,17,20
"Sin nivel (051)",411,401,6,3,1
"Primaria (053)",674,655,9,3,7
"Secundaria (054)",86,70,5,5,6
"Superior no univ. incompleta (055)",6,5,1,,
"Superior no univ. completa (056)",22,16,1,2,3
"Superior univ. incompleta (057)",11,8,1,2,
"Superior univ. completa (058)",29,23,1,2,3
,,,,,
