"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JAUJA (000)",28936,1164,14,7466,11513,1736,3006,1132,2905
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",127,,,5,22,11,25,10,54
"Profes., científicos e intelectuales (002)",2615,,,,34,127,619,240,1595
"Técnicos de nivel medio ytrab.asimilados (003)",1048,1,,37,193,165,401,106,145
"Jefes y empleados de oficina (004)",773,,,2,130,91,264,92,194
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",3275,96,,534,1479,283,449,183,251
"Agricult.trabaj. calif.agrop. y pesquros (006)",5088,302,,2137,2047,166,156,102,178
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2163,32,,353,1118,181,289,82,108
"Obreros. construc., conf., papel, fab., instr (008)",2377,10,,280,1439,216,225,97,110
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",10913,693,14,3956,4876,465,493,198,218
"Otra (010)",105,,,,11,4,56,10,24
"Ocupación no especificada (011)",452,30,,162,164,27,29,12,28
"Hombres (012)",17920,289,7,4197,8172,1166,1590,770,1729
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",93,,,5,12,8,18,10,40
"Profes., científicos e intelectuales (014)",1384,,,,22,90,263,156,853
"Técnicos de nivel medio ytrab.asimilados (015)",701,,,27,147,134,219,77,97
"Jefes y empleados de oficina (016)",347,,,1,86,44,79,46,91
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1239,7,,152,601,119,144,89,127
"Agricult.trabaj. calif.agrop. y pesquros (018)",3792,95,,1505,1721,125,113,84,149
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1822,10,,290,980,149,223,76,94
"Obreros. construc., conf., papel, fab., instr (020)",2332,8,,273,1416,211,220,95,109
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",5958,166,7,1899,3119,270,244,122,131
"Otra (022)",101,,,,10,4,55,9,23
"Ocupación no especificada (023)",151,3,,45,58,12,12,6,15
"Mujeres (024)",11016,875,7,3269,3341,570,1416,362,1176
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",34,,,,10,3,7,,14
"Profes., científicos e intelectuales (026)",1231,,,,12,37,356,84,742
"Técnicos de nivel medio ytrab.asimilados (027)",347,1,,10,46,31,182,29,48
"Jefes y empleados de oficina (028)",426,,,1,44,47,185,46,103
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2036,89,,382,878,164,305,94,124
"Agricult.trabaj. calif.agrop. y pesquros (030)",1296,207,,632,326,41,43,18,29
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",341,22,,63,138,32,66,6,14
"Obreros. construc., conf., papel, fab., instr (032)",45,2,,7,23,5,5,2,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",4955,527,7,2057,1757,195,249,76,87
"Otra (034)",4,,,,1,,1,1,1
"Ocupación no especificada (035)",301,27,,117,106,15,17,6,13
,,,,,,,,,
"URBANA (036)",20631,703,11,4081,7919,1539,2690,1002,2686
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",108,,,4,14,10,21,9,50
