"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",136221,66321,69900,36585,17439,19146,99636,48882,50754
"Menores de 1 año (001)",3762,1883,1879,802,400,402,2960,1483,1477
"Menores de 1 mes (002)",336,163,173,74,35,39,262,128,134
"De 1 a 11 meses (003)",3426,1720,1706,728,365,363,2698,1355,1343
"De 1 a 4 años (004)",15988,8104,7884,3423,1720,1703,12565,6384,6181
"1 año (005)",3691,1888,1803,791,406,385,2900,1482,1418
"2 años (006)",4062,2052,2010,851,427,424,3211,1625,1586
"3 años (007)",4149,2096,2053,900,443,457,3249,1653,1596
"4 años (008)",4086,2068,2018,881,444,437,3205,1624,1581
"De 5 a 9 años (009)",18766,9404,9362,4297,2108,2189,14469,7296,7173
"5 años (010)",3709,1845,1864,849,423,426,2860,1422,1438
"6 años (011)",3563,1747,1816,780,367,413,2783,1380,1403
"7 años (012)",4026,2042,1984,939,459,480,3087,1583,1504
"8 años (013)",3788,1895,1893,856,439,417,2932,1456,1476
"9 años (014)",3680,1875,1805,873,420,453,2807,1455,1352
"De 10 a 14 años (015)",19554,9894,9660,5008,2555,2453,14546,7339,7207
"10 años (016)",4086,2085,2001,959,519,440,3127,1566,1561
"11 años (017)",3734,1903,1831,875,439,436,2859,1464,1395
"12 años (018)",4048,2116,1932,1076,564,512,2972,1552,1420
"13 años (019)",3871,1937,1934,1021,517,504,2850,1420,1430
"14 años (020)",3815,1853,1962,1077,516,561,2738,1337,1401
"De 15 a 19 años (021)",13767,6744,7023,4274,2092,2182,9493,4652,4841
"15 años (022)",3316,1627,1689,1000,458,542,2316,1169,1147
"16 años (023)",2843,1362,1481,903,443,460,1940,919,1021
"17 años (024)",2838,1414,1424,878,435,443,1960,979,981
"18 años (025)",2576,1309,1267,834,449,385,1742,860,882
"19 años (026)",2194,1032,1162,659,307,352,1535,725,810
"De 20 a 24 años (027)",10860,5161,5699,3274,1519,1755,7586,3642,3944
"20 años (028)",2579,1221,1358,814,375,439,1765,846,919
"21 años (029)",1946,903,1043,590,263,327,1356,640,716
"22 años (030)",2174,1045,1129,639,313,326,1535,732,803
"23 años (031)",2069,1003,1066,596,276,320,1473,727,746
"24 años (032)",2092,989,1103,635,292,343,1457,697,760
"De 25 a 29 años (033)",8762,4138,4624,2552,1169,1383,6210,2969,3241
"25 años (034)",1895,914,981,577,271,306,1318,643,675
"26 años (035)",1779,778,1001,506,213,293,1273,565,708
"27 años (036)",1930,920,1010,570,250,320,1360,670,690
"28 años (037)",1708,862,846,491,242,249,1217,620,597
"29 años (038)",1450,664,786,408,193,215,1042,471,571
"De 30 a 34 años (039)",7961,3709,4252,2332,1041,1291,5629,2668,2961
