"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHANCHAMAYO (000)",41934,166385,22733,94150,19201,72235
"Casa independiente (001)",32165,130139,19646,82738,12519,47401
"Departamento en edificio (002)",583,1863,583,1863,,
"Vivienda en quinta (003)",979,3729,979,3729,,
"Vivienda en casa de vecindad (004)",1029,4124,1029,4124,,
"Choza o cabaña (005)",6659,24752,,,6659,24752
"Vivienda improvisada (006)",382,1321,382,1321,,
"Local no dest.para hab. humana (007)",103,374,87,311,16,63
"Otro tipo (008)",34,83,27,64,7,19
