"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MAYNAS (000)",168136,116252,18542,14781,18561
"Agric., ganadería, caza y silvicultura (001)",35013,30702,3421,643,247
"Pesca (002)",1791,1584,150,43,14
"Explotación de minas y canteras (003)",622,33,6,54,529
"Industrias manufactureras (004)",11944,7918,1810,1362,854
"Suministro de electricidad, gas y agua (005)",442,122,42,120,158
"Construcción (006)",8618,4951,1559,1319,789
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",35028,30159,3147,1466,256
"Venta, mant.y rep. veh.autom y motoc. (008)",3551,2590,617,219,125
"Comercio al por mayor (009)",1768,1062,263,312,131
"Comercio al por menor (010)",29709,26507,2267,935,
"Hoteles y restaurantes (011)",10270,8444,1142,525,159
"Trans., almac. y comunicaciones (012)",15755,12137,1562,1228,828
"Intermediación financiera (013)",728,187,64,310,167
"Activid.inmobil., empres. y alquileres (014)",7198,3237,1185,1500,1276
"Admin.pub. y defensa; p. segur soc.afil (015)",6760,,,,6760
"Enseñanza (016)",11272,1575,2387,4263,3047
"Servicios sociales y de salud (017)",3355,630,227,255,2243
"Otras activ. serv.comun.soc y personales (018)",4636,3068,644,632,292
"Hogares privados con servicio doméstico (019)",6311,6311,,,
"Organiz. y organos extraterritoriales (020)",5,,1,,4
"Actividad economica no especificada (021)",8388,5194,1195,1061,938
"Hombres (022)",108369,73223,13085,9712,12349
"Agric., ganadería, caza y silvicultura (023)",26739,23289,2673,567,210
"Pesca (024)",1645,1459,133,39,14
"Explotación de minas y canteras (025)",586,28,5,53,500
"Industrias manufactureras (026)",9344,5750,1597,1230,767
"Suministro de electricidad, gas y agua (027)",378,107,38,109,124
"Construcción (028)",8355,4835,1527,1252,741
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",18712,15514,2025,957,216
"Venta, mant.y rep. veh.autom y motoc. (030)",3241,2379,550,192,120
"Comercio al por mayor (031)",1161,653,191,221,96
"Comercio al por menor (032)",14310,12482,1284,544,
"Hoteles y restaurantes (033)",3071,2159,515,292,105
"Trans., almac. y comunicaciones (034)",14844,11580,1422,1079,763
"Intermediación financiera (035)",402,88,44,174,96
"Activid.inmobil., empres. y alquileres (036)",5148,2402,806,1028,912
"Admin.pub. y defensa; p. segur soc.afil (037)",4982,,,,4982
