"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,3546,529,231,174
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,,1,1,11
"Profes., científicos e intelectuales (002)",501,151,178,144,28
"Técnicos de nivel medio y trab. asimilados (003)",46,15,6,5,20
"Jefes y empleados de oficina (004)",125,22,16,18,69
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",257,242,10,2,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1605,1552,52,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",91,84,4,1,2
"Obreros construc.,conf.,papel, fab., instr. (008)",147,104,27,11,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1437,1139,224,43,31
"Otra (010)",5,,,,5
"Ocupación no especificada (011)",253,237,11,5,
"Hombres (012)",3559,2804,453,175,127
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",10,,1,1,8
"Profes., científicos e intelectuales (014)",353,92,138,106,17
"Técnicos de nivel medio y trab. asimilados (015)",28,10,3,3,12
"Jefes y empleados de oficina (016)",92,16,13,13,50
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",89,86,2,,1
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1540,1488,51,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",76,71,3,,2
"Obreros construc.,conf.,papel, fab., instr. (020)",144,102,26,11,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1119,843,212,37,27
"Otra (022)",5,,,,5
"Ocupación no especificada (023)",103,96,4,3,
"Mujeres (024)",921,742,76,56,47
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",148,59,40,38,11
"Técnicos de nivel medio y trab. asimilados (027)",18,5,3,2,8
"Jefes y empleados de oficina (028)",33,6,3,5,19
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",168,156,8,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",65,64,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",15,13,1,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",3,2,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",318,296,12,6,4
