"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ABANCAY (000)",90364,4148,10692,13037,10592,15314,12496,18084,6001
"Sin nivel (001)",13026,4148,964,64,84,250,680,3462,3374
"Educación inicial (002)",2373,,2255,56,13,26,23,,
"Primaria (003)",29870,,7473,8252,909,2021,3271,6167,1777
"Secundaria (004)",26837,,,4665,7985,5908,3855,3927,497
"Superior no univ. incompleto (005)",2830,,,,436,1439,521,400,34
"Superior no univ. completo (006)",3423,,,,,1075,1142,1098,108
"Superior univ. incompleto (007)",5967,,,,1165,3202,805,759,36
"Superior univ. completo (008)",6038,,,,,1393,2199,2271,175
"Hombres (010)",44682,2116,5494,6739,5396,7333,5950,8879,2775
"Sin nivel (011)",4607,2116,501,37,35,80,142,747,949
"Educación inicial (012)",1178,,1135,26,6,5,6,,
"Primaria (013)",14925,,3858,4272,432,722,1337,3090,1214
"Secundaria (014)",14360,,,2404,4150,2993,2088,2378,347
"Superior no univ. incompleto (015)",1438,,,,207,695,259,248,29
"Superior no univ. completo (016)",1705,,,,,520,561,548,76
"Superior univ. incompleto (017)",3208,,,,566,1671,453,488,30
"Superior univ. completo (018)",3261,,,,,647,1104,1380,130
"Mujeres (020)",45682,2032,5198,6298,5196,7981,6546,9205,3226
"Sin nivel (021)",8419,2032,463,27,49,170,538,2715,2425
"Educación inicial (022)",1195,,1120,30,7,21,17,,
"Primaria (023)",14945,,3615,3980,477,1299,1934,3077,563
"Secundaria (024)",12477,,,2261,3835,2915,1767,1549,150
"Superior no univ. incompleto (025)",1392,,,,229,744,262,152,5
"Superior no univ. completo (026)",1718,,,,,555,581,550,32
"Superior univ. incompleto (027)",2759,,,,599,1531,352,271,6
"Superior univ. completo (028)",2777,,,,,746,1095,891,45
,,,,,,,,,
"URBANA (030)",57445,2367,6387,8028,7558,10965,8366,10858,2916
"Sin nivel (031)",5381,2367,525,23,32,71,197,975,1191
"Educación inicial (032)",1535,,1460,46,7,15,7,,
"Primaria (033)",15105,,4402,4710,384,606,1174,2813,1016
"Secundaria (034)",18355,,,3249,5647,3693,2600,2785,381
