"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CALCA (000)",21335,2362,2140,12111,703,3765,254
"Sin nivel (001)",3009,28,176,1893,91,786,35
"Educación inicial (002)",41,1,4,21,2,11,2
"Primaria (003)",8287,186,812,5232,340,1629,88
"Secundaria (004)",6912,674,974,3769,197,1183,115
"Superior no univ. incompleta (005)",688,177,58,371,16,59,7
"Superior no univ. completa (006)",1072,597,66,348,20,39,2
"Superior univ. incompleta (007)",423,131,25,223,11,31,2
"Superior univ. completa (008)",903,568,25,254,26,27,3
"Hombres (010)",14830,1355,1894,9049,558,1927,47
"Sin nivel (011)",1672,13,109,1293,61,191,5
"Educación inicial (012)",27,1,2,19,2,2,1
"Primaria (013)",6155,97,710,4177,289,866,16
"Secundaria (014)",5103,461,911,2765,160,784,22
"Superior no univ. incompleta (015)",454,103,52,254,9,34,2
"Superior no univ. completa (016)",601,289,63,218,12,19,
"Superior univ. incompleta (017)",301,89,25,162,8,17,
"Superior univ. completa (018)",517,302,22,161,17,14,1
"Mujeres (020)",6505,1007,246,3062,145,1838,207
"Sin nivel (021)",1337,15,67,600,30,595,30
"Educación inicial (022)",14,,2,2,,9,1
"Primaria (023)",2132,89,102,1055,51,763,72
"Secundaria (024)",1809,213,63,1004,37,399,93
"Superior no univ. incompleta (025)",234,74,6,117,7,25,5
"Superior no univ. completa (026)",471,308,3,130,8,20,2
"Superior univ. incompleta (027)",122,42,,61,3,14,2
"Superior univ. completa (028)",386,266,3,93,9,13,2
,,,,,,,
"URBANA (030)",8622,1910,1013,4677,178,662,182
"Sin nivel (031)",392,18,36,267,5,49,17
"Educación inicial (032)",8,,,4,2,1,1
"Primaria (033)",2120,128,303,1365,43,217,64
"Secundaria (034)",3585,538,544,2051,69,296,87
"Superior no univ. incompleta (035)",526,144,40,295,11,29,7
"Superior no univ. completa (036)",861,484,50,283,18,25,1
"Superior univ. incompleta (037)",356,116,19,189,6,24,2
"Superior univ. completa (038)",774,482,21,223,24,21,3
"Hombres (040)",5256,1084,896,2837,110,300,29
"Sin nivel (041)",127,5,18,91,1,11,1
"Educación inicial (042)",5,,,3,2,,
"Primaria (043)",1238,64,257,793,26,88,10
"Secundaria (044)",2405,366,500,1318,47,159,15
"Superior no univ. incompleta (045)",331,83,34,193,5,14,2
"Superior no univ. completa (046)",468,231,48,171,11,7,
"Superior univ. incompleta (047)",243,79,19,130,3,12,
"Superior univ. completa (048)",439,256,20,138,15,9,1
"Mujeres (050)",3366,826,117,1840,68,362,153
"Sin nivel (051)",265,13,18,176,4,38,16
"Educación inicial (052)",3,,,1,,1,1
"Primaria (053)",882,64,46,572,17,129,54
"Secundaria (054)",1180,172,44,733,22,137,72
"Superior no univ. incompleta (055)",195,61,6,102,6,15,5
"Superior no univ. completa (056)",393,253,2,112,7,18,1
"Superior univ. incompleta (057)",113,37,,59,3,12,2
"Superior univ. completa (058)",335,226,1,85,9,12,2
,,,,,,,
"RURAL (060)",12713,452,1127,7434,525,3103,72
"Sin nivel (061)",2617,10,140,1626,86,737,18
"Educación inicial (062)",33,1,4,17,,10,1
"Primaria (063)",6167,58,509,3867,297,1412,24
"Secundaria (064)",3327,136,430,1718,128,887,28
"Superior no univ. incompleta (065)",162,33,18,76,5,30,
"Superior no univ. completa (066)",211,113,16,65,2,14,1
"Superior univ. incompleta (067)",67,15,6,34,5,7,
"Superior univ. completa (068)",129,86,4,31,2,6,
"Hombres (070)",9574,271,998,6212,448,1627,18
"Sin nivel (071)",1545,8,91,1202,60,180,4
"Educación inicial (072)",22,1,2,16,,2,1
"Primaria (073)",4917,33,453,3384,263,778,6
"Secundaria (074)",2698,95,411,1447,113,625,7
"Superior no univ. incompleta (075)",123,20,18,61,4,20,
"Superior no univ. completa (076)",133,58,15,47,1,12,
"Superior univ. incompleta (077)",58,10,6,32,5,5,
"Superior univ. completa (078)",78,46,2,23,2,5,
"Mujeres (080)",3139,181,129,1222,77,1476,54
"Sin nivel (081)",1072,2,49,424,26,557,14
"Educación inicial (082)",11,,2,1,,8,
"Primaria (083)",1250,25,56,483,34,634,18
"Secundaria (084)",629,41,19,271,15,262,21
"Superior no univ. incompleta (085)",39,13,,15,1,10,
"Superior no univ. completa (086)",78,55,1,18,1,2,1
"Superior univ. incompleta (087)",9,5,,2,,2,
"Superior univ. completa (088)",51,40,2,8,,1,
