"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ANGARAES (000)",19003,60979,51003,,1134,83.6,1.9
"De 12 a 14 años (001)",2280,19,19,,1,100,5.3
"De 15 a 19 años (002)",2690,408,404,122,99,29.9,
"De 20 a 24 años (003)",2123,2247,2163,290,96.3,12.9,
"De 25 a 29 años (004)",1857,4055,3862,252,95.2,6.2,
"De 30 a 34 años (005)",1676,5719,5279,184,92.3,3.2,
"De 35 a 39 años (006)",1422,6317,5736,139,90.8,2.2,
"De 40 a 44 años (007)",1405,7915,6959,112,87.9,1.4,
"De 45 a 49 años (008)",1196,7572,6350,34,83.9,0.4,
"De 50 y más años (009)",4354,26727,20231,,75.7,,
"Sin nivel (010)",5731,32988,25790,231,78.2,0.7,
"De 12 a 14 años (011)",29,6,6,,100,,
"De 15 a 19 años (012)",55,25,25,1,100,4,
"De 20 a 24 años (013)",132,196,188,28,95.9,14.3,
"De 25 a 29 años (014)",258,726,680,34,93.7,4.7,
"De 30 a 34 años (015)",389,1689,1523,51,90.2,3,
"De 35 a 39 años (016)",391,1931,1741,35,90.2,1.8,
"De 40 a 44 años (017)",575,3488,2989,62,85.7,1.8,
"De 45 a 49 años (018)",619,4244,3454,20,81.4,0.5,
"De 50 y más años (019)",3283,20683,15184,,73.4,,
"Educacion Inicial (020)",53,165,146,6,88.5,3.6,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",3,,,,,,
"De 20 a 24 años (023)",7,6,6,,100,,
"De 25 a 29 años (024)",11,25,25,3,100,12,
"De 30 a 34 años (025)",16,72,63,2,87.5,2.8,
"De 35 a 39 años (026)",11,62,52,1,83.9,1.6,
"Primaria (030)",7249,21763,19275,604,88.6,2.8,
"De 12 a 14 años (031)",1335,6,6,1,100,16.7,
"De 15 a 19 años (032)",796,184,183,59,99.5,32.1,
"De 20 a 24 años (033)",859,1261,1204,159,95.5,12.6,
"De 25 a 29 años (034)",877,2345,2224,155,94.8,6.6,
"De 30 a 34 años (035)",799,2996,2763,96,92.2,3.2,
"De 35 a 39 años (036)",699,3431,3084,76,89.9,2.2,
"De 40 a 44 años (037)",601,3596,3178,44,88.4,1.2,
"De 45 a 49 años (038)",429,2790,2399,14,86,0.5,
"De 50 y más años (039)",854,5154,4234,,82.1,,
