"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAÑETE (000)",47175,198348,38924,166965,8251,31383
"Casa independiente (001)",43288,184110,35839,155091,7449,29019
"Departamento en edificio (002)",355,1352,355,1352,,
"Vivienda en quinta (003)",419,1677,419,1677,,
"Vivienda en casa de vecindad (004)",279,1076,279,1076,,
"Choza o cabaña (005)",733,2121,,,733,2121
"Vivienda improvisada (006)",1868,7262,1868,7262,,
"Local no dest.para hab. humana (007)",125,340,102,273,23,67
"Otro tipo (008)",108,410,62,234,46,176
