"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANCA SANCOS (000)",4027,12778,10899,,175,85.3,1.4
"De 12 a 14 años (001)",389,3,3,,,100,
"De 15 a 19 años (002)",413,52,52,17,100,32.7,
"De 20 a 24 años (003)",364,357,354,48,99.2,13.4,
"De 25 a 29 años (004)",349,596,575,38,96.5,6.4,
"De 30 a 34 años (005)",339,804,770,34,95.8,4.2,
"De 35 a 39 años (006)",359,1243,1183,27,95.2,2.2,
"De 40 a 44 años (007)",338,1421,1286,8,90.5,0.6,
"De 45 a 49 años (008)",283,1390,1237,3,89,0.2,
"De 50 y más años (009)",1193,6912,5439,,78.7,,
"Conviviente (010)",847,2274,2097,100,92.2,4.4,
"De 12 a 14 años (011)",4,2,2,,100,,
"De 15 a 19 años (012)",52,35,35,10,100,28.6,
"De 20 a 24 años (013)",197,263,262,34,99.6,12.9,
"De 25 a 29 años (014)",182,350,334,27,95.4,7.7,
"De 30 a 34 años (015)",129,333,322,16,96.7,4.8,
"De 35 a 39 años (016)",84,315,300,10,95.2,3.2,
"De 40 a 44 años (017)",65,268,244,2,91,0.7,
"De 45 a 49 años (018)",51,259,225,1,86.9,0.4,
"De 50 y más años (019)",83,449,373,,83.1,,
"Separado(a) (020)",126,451,407,4,90.2,0.9,
"De 15 a 19 años (022)",2,2,2,,100,,
"De 20 a 24 años (023)",11,12,11,1,91.7,8.3,
"De 25 a 29 años (024)",20,36,36,1,100,2.8,
"De 30 a 34 años (025)",14,38,37,1,97.4,2.6,
"De 35 a 39 años (026)",19,61,60,1,98.4,1.6,
"De 40 a 44 años (027)",16,59,55,,93.2,,
"De 45 a 49 años (028)",11,57,49,,86,,
"De 50 y más años (029)",33,186,157,,84.4,,
"Casado(a) (030)",1361,6608,5703,51,86.3,0.8,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",5,4,4,2,100,50,
"De 20 a 24 años (033)",24,29,29,5,100,17.2,
"De 25 a 29 años (034)",74,151,148,7,98,4.6,
"De 30 a 34 años (035)",128,358,344,15,96.1,4.2,
"De 35 a 39 años (036)",201,753,712,14,94.6,1.9,
"De 40 a 44 años (037)",196,922,831,6,90.1,0.7,
"De 45 a 49 años (038)",170,881,785,2,89.1,0.2,
"De 50 y más años (039)",562,3510,2850,,81.2,,
