"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BAGUA (000)",71362,33172,38190
"Casa independiente (001)",56368,30975,25393
"Departamento en edificio (002)",189,189,
"Vivienda en quinta (003)",1253,1253,
"Vivienda en casa de vecindad (004)",637,637,
"Choza o cabaña (005)",12771,,12771
"Vivienda improvisada (006)",40,40,
"Local no dest.para hab. humana (007)",71,69,2
"Otro tipo (008)",33,9,24
