"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16835,1264,21,8162,5361,387,518,350,772
"Agric., ganadería, caza y silvicultura (001)",10977,1120,12,6610,2999,77,61,62,36
"Pesca (002)",729,42,3,425,244,4,7,2,2
"Explotación de minas y canteras (003)",2,,,,1,1,,,
"Industrias manufactureras (004)",643,9,2,166,393,25,17,18,13
"Suministro de electricidad, gas y agua (005)",9,1,,1,2,3,,,2
"Construcción (006)",173,,,38,107,9,10,5,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1306,35,1,404,681,58,42,44,41
"Venta, mant.y rep. veh.autom.y motoc. (008)",77,1,,9,51,6,4,2,4
"Comercio al por mayor (009)",63,,,18,38,2,,3,2
"Comercio al por menor (010)",1166,34,1,377,592,50,38,39,35
"Hoteles y restaurantes (011)",328,13,1,119,151,5,15,14,10
"Trans., almac. y comunicaciones (012)",250,2,,63,146,15,8,13,3
"Intermediación financiera (013)",2,,,,,,,,2
"Activid.inmobil., empres. y de alquiler (014)",112,1,,18,35,7,13,17,21
"Admin.pub. y defensa; p. segur.soc.afil (015)",493,3,,16,203,41,103,40,87
"Enseñanza (016)",868,,,2,31,86,176,104,469
"Servicios sociales y de salud (017)",135,,,3,16,7,38,15,56
"Otras activ. serv.comun.soc y personales (018)",153,4,,41,65,18,9,7,9
"Hogares privados con servicio doméstico (019)",257,13,2,101,134,3,1,2,1
"Actividad economica no especificada (021)",398,21,,155,153,28,18,7,16
"Hombres (022)",12563,790,17,6108,4262,289,353,247,497
"Agric., ganadería, caza y silvicultura (023)",8619,711,11,5117,2577,69,54,50,30
"Pesca (024)",699,40,3,406,235,4,7,2,2
"Explotación de minas y canteras (025)",2,,,,1,1,,,
"Industrias manufactureras (026)",575,7,2,145,361,22,14,18,6
"Suministro de electricidad, gas y agua (027)",9,1,,1,2,3,,,2
"Construcción (028)",171,,,38,105,9,10,5,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",738,14,1,207,393,39,30,28,26
"Venta, mant.y rep. veh.autom.y motoc. (030)",71,,,9,47,5,4,2,4
"Comercio al por mayor (031)",49,,,12,32,2,,1,2
"Comercio al por menor (032)",618,14,1,186,314,32,26,25,20
"Hoteles y restaurantes (033)",67,1,,12,39,2,5,5,3
"Trans., almac. y comunicaciones (034)",242,2,,61,143,15,6,12,3
"Intermediación financiera (035)",2,,,,,,,,2
"Activid.inmobil., empres. y de alquiler (036)",79,1,,14,25,5,7,11,16
"Admin.pub. y defensa; p. segur.soc.afil (037)",421,2,,13,180,35,89,30,72
"Enseñanza (038)",501,,,1,13,46,95,66,280
"Servicios sociales y de salud (039)",82,,,,12,6,17,11,36
"Otras activ. serv.comun.soc y personales (040)",88,1,,15,45,12,6,3,6
"Hogares privados con servicio doméstico (041)",54,5,,15,31,1,1,1,
"Actividad economica no especificada (043)",214,5,,63,100,20,12,5,9
"Mujeres (044)",4272,474,4,2054,1099,98,165,103,275
"Agric., ganadería, caza y silvicultura (045)",2358,409,1,1493,422,8,7,12,6
