"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHINCHA (000)",193285,171705,21580
"Casa independiente (001)",154453,136891,17562
"Departamento en edificio (002)",1282,1282,
"Vivienda en quinta (003)",1062,1062,
"Vivienda en casa de vecindad (004)",1379,1379,
"Choza o cabaña (005)",3992,,3992
"Vivienda improvisada (006)",30085,30085,
"Local no dest.para hab. humana (007)",226,215,11
"Otro tipo (008)",806,791,15
