"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CASMA (000)",16755,2957,5609,6178,336,601,224,850
"Agric., ganadería, caza y silvicultura (001)",5869,50,3481,1817,174,347,,
"Pesca (002)",822,35,459,311,15,2,,
"Explotación de minas y canteras (003)",36,10,24,1,1,,,
"Industrias manufactureras (004)",1006,66,617,300,19,4,,
"Suministro de electricidad, gas y agua (005)",35,12,21,1,1,,,
"Construcción (006)",642,15,446,169,9,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2426,401,99,1685,54,187,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",269,54,59,140,8,8,,
"Comercio al por mayor (009)",242,94,21,103,14,10,,
"Comercio al por menor (010)",1915,253,19,1442,32,169,,
"Hoteles y restaurantes (011)",781,230,61,436,35,19,,
"Trans., almac. y comunicaciones (012)",1666,368,180,1095,13,10,,
"Intermediación financiera (013)",29,29,,,,,,
"Activid.inmobil., empres. y alquileres (014)",441,279,58,96,6,2,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,387,72,,,,,
"Enseñanza (016)",793,763,1,28,1,,,
"Servicios sociales y de salud (017)",165,136,3,24,1,1,,
"Otras activ. serv.comun.soc y personales (018)",319,127,49,134,6,3,,
"Hogares privados con servicio doméstico (019)",224,,,,,,224,
"Actividad economica no especificada (021)",192,49,38,81,1,23,,
"Desocupado (022)",850,,,,,,,850
"Hombres (023)",12020,1643,4491,4620,271,356,11,628
"Agric., ganadería, caza y silvicultura (024)",5059,42,2857,1711,157,292,,
"Pesca (025)",739,27,393,302,15,2,,
"Explotación de minas y canteras (026)",35,10,23,1,1,,,
"Industrias manufactureras (027)",579,43,315,202,17,2,,
"Suministro de electricidad, gas y agua (028)",34,11,21,1,1,,,
"Construcción (029)",630,11,439,168,9,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1235,218,96,850,31,40,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",247,44,58,133,6,6,,
"Comercio al por mayor (032)",145,57,21,60,7,,,
"Comercio al por menor (033)",843,117,17,657,18,34,,
"Hoteles y restaurantes (034)",233,76,17,121,16,3,,
"Trans., almac. y comunicaciones (035)",1573,300,175,1079,13,6,,
"Intermediación financiera (036)",17,17,,,,,,
"Activid.inmobil., empres. y alquileres (037)",324,199,52,66,5,2,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",289,239,50,,,,,
"Enseñanza (039)",351,339,,11,1,,,
"Servicios sociales y de salud (040)",45,29,2,14,,,,
"Otras activ. serv.comun.soc y personales (041)",176,65,38,65,5,3,,
"Hogares privados con servicio doméstico (042)",11,,,,,,11,
"Actividad economica no especificada (044)",62,17,13,29,,3,,
"Desocupado (045)",628,,,,,,,628
"Mujeres (046)",4735,1314,1118,1558,65,245,213,222
"Agric., ganadería, caza y silvicultura (047)",810,8,624,106,17,55,,
"Pesca (048)",83,8,66,9,,,,
"Explotación de minas y canteras (049)",1,,1,,,,,
"Industrias manufactureras (050)",427,23,302,98,2,2,,
"Suministro de electricidad, gas y agua (051)",1,1,,,,,,
"Construcción (052)",12,4,7,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1191,183,3,835,23,147,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",22,10,1,7,2,2,,
"Comercio al por mayor (055)",97,37,,43,7,10,,
"Comercio al por menor (056)",1072,136,2,785,14,135,,
"Hoteles y restaurantes (057)",548,154,44,315,19,16,,
"Trans., almac. y comunicaciones (058)",93,68,5,16,,4,,
"Intermediación financiera (059)",12,12,,,,,,
"Activid.inmobil., empres. y alquileres (060)",117,80,6,30,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",170,148,22,,,,,
"Enseñanza (062)",442,424,1,17,,,,
"Servicios sociales y de salud (063)",120,107,1,10,1,1,,
"Otras activ. serv.comun.soc y personales (064)",143,62,11,69,1,,,
"Hogares privados con servicio doméstico (065)",213,,,,,,213,
"Actividad economica no especificada (067)",130,32,25,52,1,20,,
,,,,,,,,
"URBANA (068)",12120,2768,3288,4629,236,350,205,644
"Agric., ganadería, caza y silvicultura (069)",2311,37,1447,636,85,106,,
"Pesca (070)",755,35,424,279,15,2,,
"Explotación de minas y canteras (071)",26,8,16,1,1,,,
"Industrias manufactureras (072)",921,64,552,283,18,4,,
"Suministro de electricidad, gas y agua (073)",19,10,8,,1,,,
"Construcción (074)",550,15,360,163,9,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",2278,386,90,1568,51,183,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",252,49,53,136,6,8,,
"Comercio al por mayor (077)",222,94,19,88,14,7,,
"Comercio al por menor (078)",1804,243,18,1344,31,168,,
"Hoteles y restaurantes (079)",732,215,52,417,29,19,,
"Trans., almac. y comunicaciones (080)",1468,349,148,949,12,10,,
"Intermediación financiera (081)",29,29,,,,,,
"Activid.inmobil., empres. y alquileres (082)",384,245,42,89,6,2,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",425,357,68,,,,,
"Enseñanza (084)",744,714,1,28,1,,,
"Servicios sociales y de salud (085)",161,134,3,22,1,1,,
"Otras activ. serv.comun.soc y personales (086)",306,123,44,130,6,3,,
"Hogares privados con servicio doméstico (087)",205,,,,,,205,
"Actividad economica no especificada (089)",162,47,33,64,1,17,,
"Desocupado (090)",644,,,,,,,644
"Hombres (091)",8022,1525,2494,3220,185,141,10,447
"Agric., ganadería, caza y silvicultura (092)",1872,30,1115,573,76,78,,
"Pesca (093)",676,27,361,271,15,2,,
"Explotación de minas y canteras (094)",25,8,15,1,1,,,
"Industrias manufactureras (095)",515,42,266,189,16,2,,
"Suministro de electricidad, gas y agua (096)",18,9,8,,1,,,
"Construcción (097)",539,11,354,162,9,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",1162,210,87,796,29,40,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",230,39,52,129,4,6,,
"Comercio al por mayor (100)",136,57,19,53,7,,,
"Comercio al por menor (101)",796,114,16,614,18,34,,
"Hoteles y restaurantes (102)",223,72,15,118,15,3,,
"Trans., almac. y comunicaciones (103)",1377,282,143,934,12,6,,
"Intermediación financiera (104)",17,17,,,,,,
"Activid.inmobil., empres. y alquileres (105)",274,168,37,62,5,2,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",265,219,46,,,,,
"Enseñanza (107)",337,325,,11,1,,,
"Servicios sociales y de salud (108)",43,27,2,14,,,,
"Otras activ. serv.comun.soc y personales (109)",166,61,33,64,5,3,,
"Hogares privados con servicio doméstico (110)",10,,,,,,10,
"Actividad economica no especificada (112)",56,17,12,25,,2,,
"Desocupado (113)",447,,,,,,,447
"Mujeres (114)",4098,1243,794,1409,51,209,195,197
"Agric., ganadería, caza y silvicultura (115)",439,7,332,63,9,28,,
