"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANUCO (000)",69080,413,1407,3742,7662,14447,24916,16493
"De 12 a 14 años (001)",97,,,,,,12,85
"De 15 a 19 años (002)",1878,,,,,,1230,648
"De 20 a 24 años (003)",7765,,,,,25,4457,3283
"De 25 a 29 años (004)",9049,,,,,548,5556,2945
"De 30 a 34 años (005)",8638,,,,7,1461,5197,1973
"De 35 a 39 años (006)",8461,,,,116,2573,4319,1453
"De 40 a 44 años (007)",7267,,,1,448,3046,2657,1115
"De 45 a 49 años (008)",6262,,,32,1034,3052,1236,908
"De 50 y más años (009)",19663,413,1407,3709,6057,3742,252,4083
"PEA (010)",24101,29,170,818,2787,6177,7942,6178
"De 12 a 14 años (011)",16,,,,,,3,13
"De 15 a 19 años (012)",333,,,,,,213,120
"De 20 a 24 años (013)",2084,,,,,5,1031,1048
"De 25 a 29 años (014)",3184,,,,,214,1671,1299
"De 30 a 34 años (015)",3383,,,,4,628,1818,933
"De 35 a 39 años (016)",3675,,,,68,1189,1678,740
"De 40 a 44 años (017)",3391,,,1,253,1508,1031,598
"De 45 a 49 años (018)",2747,,,17,536,1342,426,426
"De 50 y más años (019)",5288,29,170,800,1926,1291,71,1001
"Ocupada (020)",22951,27,163,799,2720,5965,7532,5745
"De 12 a 14 años (021)",15,,,,,,3,12
"De 15 a 19 años (022)",304,,,,,,199,105
"De 20 a 24 años (023)",1869,,,,,5,952,912
"De 25 a 29 años (024)",2948,,,,,197,1571,1180
"De 30 a 34 años (025)",3167,,,,4,596,1708,859
"De 35 a 39 años (026)",3531,,,,66,1140,1626,699
"De 40 a 44 años (027)",3289,,,1,250,1466,988,584
"De 45 a 49 años (028)",2668,,,17,518,1303,415,415
"De 50 y más años (029)",5160,27,163,781,1882,1258,70,979
"Desocupada (030)",1150,2,7,19,67,212,410,433
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",29,,,,,,14,15
"De 20 a 24 años (033)",215,,,,,,79,136
"De 25 a 29 años (034)",236,,,,,17,100,119
"De 30 a 34 años (035)",216,,,,,32,110,74
"De 35 a 39 años (036)",144,,,,2,49,52,41
"De 40 a 44 años (037)",102,,,,3,42,43,14
"De 45 a 49 años (038)",79,,,,18,39,11,11
"De 50 y más años (039)",128,2,7,19,44,33,1,22
"No PEA (040)",44979,384,1237,2924,4875,8270,16974,10315
"De 12 a 14 años (041)",81,,,,,,9,72
"De 15 a 19 años (042)",1545,,,,,,1017,528
"De 20 a 24 años (043)",5681,,,,,20,3426,2235
"De 25 a 29 años (044)",5865,,,,,334,3885,1646
