"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia FERREÑAFE (000)",96142,94238,1394,510
"Hombres (001)",47669,46938,494,237
"Mujeres (002)",48473,47300,900,273
"Menores de 1 año (003)",2103,1669,294,140
"Hombres (004)",1062,863,133,66
"Mujeres (005)",1041,806,161,74
"De 1 a 5 años (006)",11284,10437,536,311
"Hombres (007)",5757,5345,257,155
"Mujeres (008)",5527,5092,279,156
"De 6 a 14 años (009)",20784,20691,71,22
"Hombres (010)",10631,10594,28,9
"Mujeres (011)",10153,10097,43,13
"De 15 a 29 años (012)",24128,24077,40,11
"Hombres (013)",11957,11949,7,1
"Mujeres (014)",12171,12128,33,10
"De 30 a 44 años (015)",17718,17642,70,6
"Hombres (016)",8273,8265,7,1
"Mujeres (017)",9445,9377,63,5
"De 45 a 64 años (018)",14204,14040,152,12
"Hombres (019)",6990,6960,27,3
"Mujeres (020)",7214,7080,125,9
"De 65 a más años (021)",5921,5682,231,8
"Hombres (022)",2999,2962,35,2
"Mujeres (023)",2922,2720,196,6
,,,,
"URBANA (024)",51661,51175,322,164
"Hombres (025)",25287,25067,138,82
"Mujeres (026)",26374,26108,184,82
"Menores de 1 año (027)",978,831,105,42
"Hombres (028)",491,428,45,18
"Mujeres (029)",487,403,60,24
"De 1 a 5 años (030)",4974,4719,139,116
"Hombres (031)",2582,2449,71,62
"Mujeres (032)",2392,2270,68,54
"De 6 a 14 años (033)",10109,10097,9,3
"Hombres (034)",5138,5131,6,1
"Mujeres (035)",4971,4966,3,2
"De 15 a 29 años (036)",13278,13271,6,1
"Hombres (037)",6481,6480,1,
"Mujeres (038)",6797,6791,5,1
"De 30 a 44 años (039)",10273,10265,8,
"Hombres (040)",4633,4632,1,
"Mujeres (041)",5640,5633,7,
"De 45 a 64 años (042)",8425,8410,14,1
"Hombres (043)",4132,4128,3,1
"Mujeres (044)",4293,4282,11,
"De 65 a más años (045)",3624,3582,41,1
"Hombres (046)",1830,1819,11,
"Mujeres (047)",1794,1763,30,1
,,,,
"RURAL (048)",44481,43063,1072,346
"Hombres (049)",22382,21871,356,155
"Mujeres (050)",22099,21192,716,191
"Menores de 1 año (051)",1125,838,189,98
"Hombres (052)",571,435,88,48
"Mujeres (053)",554,403,101,50
"De 1 a 5 años (054)",6310,5718,397,195
"Hombres (055)",3175,2896,186,93
"Mujeres (056)",3135,2822,211,102
"De 6 a 14 años (057)",10675,10594,62,19
"Hombres (058)",5493,5463,22,8
"Mujeres (059)",5182,5131,40,11
"De 15 a 29 años (060)",10850,10806,34,10
"Hombres (061)",5476,5469,6,1
"Mujeres (062)",5374,5337,28,9
"De 30 a 44 años (063)",7445,7377,62,6
"Hombres (064)",3640,3633,6,1
"Mujeres (065)",3805,3744,56,5
"De 45 a 64 años (066)",5779,5630,138,11
"Hombres (067)",2858,2832,24,2
"Mujeres (068)",2921,2798,114,9
"De 65 a más años (069)",2297,2100,190,7
"Hombres (070)",1169,1143,24,2
"Mujeres (071)",1128,957,166,5
