"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CELENDIN (000)",22834,154,472,1117,2231,4691,8627,5542
"De 12 a 14 años (001)",53,,,,,,8,45
"De 15 a 19 años (002)",790,,,,,,444,346
"De 20 a 24 años (003)",2621,,,,,8,1630,983
"De 25 a 29 años (004)",2866,,,,,170,1951,745
"De 30 a 34 años (005)",2644,,,,,460,1658,526
"De 35 a 39 años (006)",2653,,,,22,783,1414,434
"De 40 a 44 años (007)",2241,,,,90,879,921,351
"De 45 a 49 años (008)",1888,,,3,223,920,487,255
"De 50 y más años (009)",7078,154,472,1114,1896,1471,114,1857
"Conviviente (010)",10680,10,78,228,656,2055,5340,2313
"De 12 a 14 años (011)",37,,,,,,5,32
"De 15 a 19 años (012)",558,,,,,,307,251
"De 20 a 24 años (013)",1620,,,,,4,1103,513
"De 25 a 29 años (014)",1741,,,,,84,1300,357
"De 30 a 34 años (015)",1504,,,,,249,1014,241
"De 35 a 39 años (016)",1314,,,,9,345,780,180
"De 40 a 44 años (017)",1037,,,,33,367,506,131
"De 45 a 49 años (018)",814,,,,58,385,271,100
"De 50 y más años (019)",2055,10,78,228,556,621,54,508
"Separado(a) (020)",1405,4,21,79,140,286,500,375
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",72,,,,,,39,33
"De 20 a 24 años (023)",200,,,,,1,133,66
"De 25 a 29 años (024)",163,,,,,22,98,43
"De 30 a 34 años (025)",134,,,,,32,76,26
"De 35 a 39 años (026)",168,,,,4,58,78,28
"De 40 a 44 años (027)",154,,,,10,52,57,35
"De 45 a 49 años (028)",115,,,,18,60,17,20
"De 50 y más años (029)",396,4,21,79,108,61,2,121
"Casado(a) (030)",6570,28,122,404,1012,1830,2064,1110
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",48,,,,,,20,28
"De 20 a 24 años (033)",301,,,,,2,215,84
"De 25 a 29 años (034)",541,,,,,37,401,103
"De 30 a 34 años (035)",696,,,,,129,457,110
"De 35 a 39 años (036)",888,,,,4,310,462,112
"De 40 a 44 años (037)",761,,,,33,346,294,88
"De 45 a 49 años (038)",729,,,,101,380,168,80
"De 50 y más años (039)",2605,28,122,404,874,626,47,504
"Viudo(a) (040)",2005,92,225,363,334,257,119,615
"De 15 a 19 años (042)",6,,,,,,2,4
"De 20 a 24 años (043)",16,,,,,,7,9
"De 25 a 29 años (044)",23,,,,,2,15,6
"De 30 a 34 años (045)",39,,,,,10,19,10
"De 35 a 39 años (046)",50,,,,1,22,22,5
"De 40 a 44 años (047)",101,,,,6,46,24,25
"De 45 a 49 años (048)",114,,,1,19,58,21,15
