"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN ROMAN (000)",96854,1370,34252,36196,21511,3525
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",125,,9,62,49,5
"Profes., científicos e intelectuales (002)",10071,,1959,5460,2576,76
"Técnicos de nivel medio y trab.asimilados (003)",3495,8,1442,1349,650,46
"Jefes y empleados de oficina (004)",2573,,1177,935,452,9
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",19919,227,6457,7736,4775,724
"Agricult.trabaj. calif. agrop. y pesqueros (006)",5066,22,807,1366,1905,966
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",14071,206,6464,4455,2556,390
"Obreros construc., conf., papel, fab., instr. (008)",10151,32,3296,4250,2366,207
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",21578,762,7798,7341,4778,899
"Otra (010)",780,,314,342,122,2
"Ocupación no especificada (011)",2181,13,810,809,455,94
"Desocupado (012)",6844,100,3719,2091,827,107
"Hombres (013)",56512,778,19598,21045,12990,2101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",100,,5,51,41,3
"Profes., científicos e intelectuales (015)",6090,,983,3222,1821,64
"Técnicos de nivel medio y trab.asimilados (016)",2231,7,871,878,441,34
"Jefes y empleados de oficina (017)",1264,,442,499,317,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",7323,111,2427,2690,1760,335
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3276,11,483,841,1260,681
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",9627,137,4540,3039,1687,224
"Obreros construc., conf., papel, fab., instr. (021)",9682,28,3071,4077,2304,202
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",10852,413,3985,3646,2381,427
"Otra (023)",757,,296,337,122,2
"Ocupación no especificada (024)",1007,8,378,350,228,43
"Desocupado (025)",4303,63,2117,1415,628,80
"Mujeres (026)",40342,592,14654,15151,8521,1424
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",25,,4,11,8,2
"Profes., científicos e intelectuales (028)",3981,,976,2238,755,12
"Técnicos de nivel medio y trab.asimilados (029)",1264,1,571,471,209,12
"Jefes y empleados de oficina (030)",1309,,735,436,135,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",12596,116,4030,5046,3015,389
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1790,11,324,525,645,285
