"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",8126,44,636,164,225,514,3030,433,412,2402,1,265
"Agric., ganadería, caza y silvicultura (001)",4688,,2,3,,,3027,1,3,1652,,
"Pesca (002)",8,,,,,,3,,,5,,
"Explotación de minas y canteras (003)",594,3,36,62,21,3,,286,88,95,,
"Industrias manufactureras (004)",128,,,3,,,,111,12,2,,
"Suministro de electricidad, gas y agua (005)",4,,,,,,,1,2,1,,
"Construcción (006)",506,,10,2,3,,,14,218,259,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",441,,,5,1,339,,15,1,80,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",12,,,1,,2,,8,1,,,
"Comercio al por mayor (009)",11,,,,,11,,,,,,
"Comercio al por menor (010)",418,,,4,1,326,,7,,80,,
"Hoteles y restaurantes (011)",222,,,5,,160,,,,57,,
"Trans., almac. y comunicaciones (012)",103,,,1,4,,,,74,24,,
"Intermediación financiera (013)",5,,2,1,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",53,,12,8,9,4,,1,5,14,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",314,32,15,14,165,2,,3,7,75,1,
"Enseñanza (016)",575,9,525,3,9,,,,,29,,
"Servicios sociales y de salud (017)",114,,31,51,5,3,,1,2,21,,
"Otras activ. serv.comun.soc y personales (018)",41,,1,6,2,3,,,,29,,
"Hogares privados con servicio doméstico (019)",57,,,,,,,,,57,,
"Actividad economica no especificada (021)",273,,2,,5,,,,,1,,265
"Hombres (022)",5453,32,409,122,145,124,2324,407,399,1395,1,95
"Agric., ganadería, caza y silvicultura (023)",3237,,2,3,,,2322,,3,907,,
"Pesca (024)",7,,,,,,2,,,5,,
"Explotación de minas y canteras (025)",576,3,34,61,16,2,,283,87,90,,
"Industrias manufactureras (026)",100,,,1,,,,89,8,2,,
"Suministro de electricidad, gas y agua (027)",4,,,,,,,1,2,1,,
"Construcción (028)",462,,10,2,3,,,14,210,223,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",158,,,4,1,100,,15,1,37,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",11,,,1,,1,,8,1,,,
"Comercio al por mayor (031)",9,,,,,9,,,,,,
"Comercio al por menor (032)",138,,,3,1,90,,7,,37,,
"Hoteles y restaurantes (033)",27,,,1,,16,,,,10,,
"Trans., almac. y comunicaciones (034)",99,,,1,4,,,,74,20,,
"Intermediación financiera (035)",2,,1,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",36,,9,6,4,4,,1,5,7,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",221,23,11,12,100,2,,3,7,62,1,
"Enseñanza (038)",358,6,320,2,6,,,,,24,,
"Servicios sociales y de salud (039)",52,,19,24,4,,,1,2,2,,
"Otras activ. serv.comun.soc y personales (040)",11,,1,5,1,,,,,4,,
"Actividad economica no especificada (043)",103,,2,,5,,,,,1,,95
"Mujeres (044)",2673,12,227,42,80,390,706,26,13,1007,,170
"Agric., ganadería, caza y silvicultura (045)",1451,,,,,,705,1,,745,,
"Pesca (046)",1,,,,,,1,,,,,
"Explotación de minas y canteras (047)",18,,2,1,5,1,,3,1,5,,
"Industrias manufactureras (048)",28,,,2,,,,22,4,,,
"Construcción (050)",44,,,,,,,,8,36,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",283,,,1,,239,,,,43,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,,,,,,
"Comercio al por mayor (053)",2,,,,,2,,,,,,
"Comercio al por menor (054)",280,,,1,,236,,,,43,,
"Hoteles y restaurantes (055)",195,,,4,,144,,,,47,,
"Trans., almac. y comunicaciones (056)",4,,,,,,,,,4,,
"Intermediación financiera (057)",3,,1,1,,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",17,,3,2,5,,,,,7,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",93,9,4,2,65,,,,,13,,
"Enseñanza (060)",217,3,205,1,3,,,,,5,,
"Servicios sociales y de salud (061)",62,,12,27,1,3,,,,19,,
"Otras activ. serv.comun.soc y personales (062)",30,,,1,1,3,,,,25,,
"Hogares privados con servicio doméstico (063)",57,,,,,,,,,57,,
"Actividad economica no especificada (065)",170,,,,,,,,,,,170
,,,,,,,,,,,,
"URBANA (066)",6342,42,550,152,207,470,2032,408,332,1939,1,209
"Agric., ganadería, caza y silvicultura (067)",3349,,1,2,,,2031,1,3,1311,,
"Pesca (068)",4,,,,,,1,,,3,,
