"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUARAZ (000)",52131,141,8625,2857,2760,7705,6677,3692,5203,13302,330,839
"Agric., ganadería, caza y silvicultura (001)",10241,,51,35,6,,6674,3,5,3467,,
"Pesca (002)",10,,1,,,,3,,,6,,
"Explotación de minas y canteras (003)",1010,4,169,75,68,,,391,122,181,,
"Industrias manufactureras (004)",2646,,84,107,47,37,,2031,260,80,,
"Suministro de electricidad, gas y agua (005)",155,1,16,13,21,,,27,19,58,,
"Construcción (006)",4732,4,336,147,61,,,217,2063,1904,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9849,5,141,375,97,5611,,914,72,2634,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1001,1,14,37,14,153,,693,41,48,,
"Comercio al por mayor (009)",682,3,22,66,21,511,,1,9,49,,
"Comercio al por menor (010)",8166,1,105,272,62,4947,,220,22,2537,,
"Hoteles y restaurantes (011)",2773,7,71,205,158,1336,,4,4,988,,
"Trans., almac. y comunicaciones (012)",4069,7,90,143,213,175,,17,2500,924,,
"Intermediación financiera (013)",326,2,69,67,177,,,,,11,,
"Activid.inmobil., empres. y alquileres (014)",3026,3,1191,695,493,291,,30,68,255,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2291,61,426,230,882,28,,14,54,266,330,
"Enseñanza (016)",5397,46,5027,61,210,,,2,6,45,,
"Servicios sociales y de salud (017)",1360,,678,387,123,48,,9,8,107,,
"Otras activ. serv.comun.soc y personales (018)",1809,,274,313,191,179,,33,22,797,,
"Hogares privados con servicio doméstico (019)",1579,,,,,,,,,1579,,
"Organiz. y organos extraterritoriales (020)",1,,,,1,,,,,,,
"Actividad economica no especificada (021)",857,1,1,4,12,,,,,,,839
"Hombres (022)",33751,106,4774,1824,1251,3439,5923,3230,5087,7485,313,319
"Agric., ganadería, caza y silvicultura (023)",8406,,39,29,6,,5921,3,5,2403,,
"Pesca (024)",8,,1,,,,2,,,5,,
"Explotación de minas y canteras (025)",934,4,147,61,52,,,381,120,169,,
"Industrias manufactureras (026)",2051,,52,77,22,17,,1610,216,57,,
"Suministro de electricidad, gas y agua (027)",135,1,11,13,14,,,24,18,54,,
"Construcción (028)",4565,3,286,136,38,,,209,2035,1858,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4846,5,69,239,42,2427,,898,71,1095,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",935,1,10,33,5,121,,686,41,38,,
"Comercio al por mayor (031)",420,3,11,46,9,303,,1,9,38,,
"Comercio al por menor (032)",3491,1,48,160,28,2003,,211,21,1019,,
"Hoteles y restaurantes (033)",1040,3,40,95,75,497,,4,4,322,,
"Trans., almac. y comunicaciones (034)",3594,6,61,95,111,124,,17,2468,712,,
"Intermediación financiera (035)",179,2,43,33,91,,,,,10,,
"Activid.inmobil., empres. y alquileres (036)",2054,2,814,479,196,286,,30,65,182,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1453,51,264,148,413,27,,12,49,176,313,
"Enseñanza (038)",2643,28,2469,33,73,,,2,6,32,,
"Servicios sociales y de salud (039)",485,,258,131,39,15,,7,8,27,,
"Otras activ. serv.comun.soc y personales (040)",970,,219,251,75,46,,33,22,324,,
"Hogares privados con servicio doméstico (041)",59,,,,,,,,,59,,
"Organiz. y organos extraterritoriales (042)",1,,,,1,,,,,,,
"Actividad economica no especificada (043)",328,1,1,4,3,,,,,,,319
"Mujeres (044)",18380,35,3851,1033,1509,4266,754,462,116,5817,17,520
"Agric., ganadería, caza y silvicultura (045)",1835,,12,6,,,753,,,1064,,
"Pesca (046)",2,,,,,,1,,,1,,
"Explotación de minas y canteras (047)",76,,22,14,16,,,10,2,12,,
"Industrias manufactureras (048)",595,,32,30,25,20,,421,44,23,,
"Suministro de electricidad, gas y agua (049)",20,,5,,7,,,3,1,4,,
"Construcción (050)",167,1,50,11,23,,,8,28,46,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",5003,,72,136,55,3184,,16,1,1539,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",66,,4,4,9,32,,7,,10,,
"Comercio al por mayor (053)",262,,11,20,12,208,,,,11,,
"Comercio al por menor (054)",4675,,57,112,34,2944,,9,1,1518,,
"Hoteles y restaurantes (055)",1733,4,31,110,83,839,,,,666,,
"Trans., almac. y comunicaciones (056)",475,1,29,48,102,51,,,32,212,,
"Intermediación financiera (057)",147,,26,34,86,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",972,1,377,216,297,5,,,3,73,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",838,10,162,82,469,1,,2,5,90,17,
"Enseñanza (060)",2754,18,2558,28,137,,,,,13,,
"Servicios sociales y de salud (061)",875,,420,256,84,33,,2,,80,,
"Otras activ. serv.comun.soc y personales (062)",839,,55,62,116,133,,,,473,,
"Hogares privados con servicio doméstico (063)",1520,,,,,,,,,1520,,
"Actividad economica no especificada (065)",529,,,,9,,,,,,,520
,,,,,,,,,,,,
"URBANA (066)",41211,132,8398,2762,2630,7245,1845,3180,4475,9527,326,691
"Agric., ganadería, caza y silvicultura (067)",2925,,51,31,6,,1843,2,5,987,,
"Pesca (068)",6,,1,,,,2,,,3,,
"Explotación de minas y canteras (069)",776,4,158,68,50,,,271,114,111,,
"Industrias manufactureras (070)",2325,,84,104,45,36,,1756,229,71,,
"Suministro de electricidad, gas y agua (071)",133,1,16,12,20,,,26,15,43,,
"Construcción (072)",3725,4,331,139,54,,,200,1637,1360,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",9234,5,137,361,92,5301,,825,69,2444,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",899,1,13,33,12,139,,616,39,46,,
"Comercio al por mayor (075)",649,3,21,64,20,484,,1,9,47,,
"Comercio al por menor (076)",7686,1,103,264,60,4678,,208,21,2351,,
"Hoteles y restaurantes (077)",2628,7,71,199,150,1250,,4,4,943,,
"Trans., almac. y comunicaciones (078)",3728,7,90,142,204,163,,16,2257,849,,
"Intermediación financiera (079)",321,2,69,65,176,,,,,9,,
"Activid.inmobil., empres. y alquileres (080)",2915,3,1172,686,476,248,,29,64,237,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",2172,52,423,225,836,27,,13,49,221,326,
"Enseñanza (082)",5227,46,4868,61,203,,,2,5,42,,
"Servicios sociales y de salud (083)",1326,,661,377,122,47,,9,6,104,,
"Otras activ. serv.comun.soc y personales (084)",1674,,265,288,183,173,,27,21,717,,
"Hogares privados con servicio doméstico (085)",1386,,,,,,,,,1386,,
"Organiz. y organos extraterritoriales (086)",1,,,,1,,,,,,,
"Actividad economica no especificada (087)",709,1,1,4,12,,,,,,,691
"Hombres (088)",25026,98,4635,1753,1149,3198,1558,2759,4366,4929,309,272
"Agric., ganadería, caza y silvicultura (089)",2373,,39,26,6,,1557,2,5,738,,
"Pesca (090)",5,,1,,,,1,,,3,,
"Explotación de minas y canteras (091)",712,4,138,54,34,,,264,112,106,,
"Industrias manufactureras (092)",1776,,52,76,21,16,,1373,187,51,,
"Suministro de electricidad, gas y agua (093)",114,1,11,12,13,,,23,14,40,,
"Construcción (094)",3568,3,281,129,32,,,192,1613,1318,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",4510,5,66,229,37,2273,,809,68,1023,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",835,1,9,29,3,108,,609,39,37,,
"Comercio al por mayor (097)",392,3,10,45,8,279,,1,9,37,,
"Comercio al por menor (098)",3283,1,47,155,26,1886,,199,20,949,,
"Hoteles y restaurantes (099)",990,3,40,94,70,466,,4,4,309,,
"Trans., almac. y comunicaciones (100)",3260,6,61,94,105,113,,16,2226,639,,
"Intermediación financiera (101)",175,2,43,31,91,,,,,8,,
"Activid.inmobil., empres. y alquileres (102)",1956,2,799,471,182,243,,29,61,169,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",1352,43,262,144,379,26,,11,44,134,309,
"Enseñanza (104)",2544,28,2381,33,66,,,2,5,29,,
"Servicios sociales y de salud (105)",472,,250,129,39,15,,7,6,26,,
"Otras activ. serv.comun.soc y personales (106)",883,,210,227,70,46,,27,21,282,,
"Hogares privados con servicio doméstico (107)",54,,,,,,,,,54,,
"Organiz. y organos extraterritoriales (108)",1,,,,1,,,,,,,
"Actividad economica no especificada (109)",281,1,1,4,3,,,,,,,272
"Mujeres (110)",16185,34,3763,1009,1481,4047,287,421,109,4598,17,419
"Agric., ganadería, caza y silvicultura (111)",552,,12,5,,,286,,,249,,
"Pesca (112)",1,,,,,,1,,,,,
"Explotación de minas y canteras (113)",64,,20,14,16,,,7,2,5,,
"Industrias manufactureras (114)",549,,32,28,24,20,,383,42,20,,
"Suministro de electricidad, gas y agua (115)",19,,5,,7,,,3,1,3,,
"Construcción (116)",157,1,50,10,22,,,8,24,42,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",4724,,71,132,55,3028,,16,1,1421,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",64,,4,4,9,31,,7,,9,,
"Comercio al por mayor (119)",257,,11,19,12,205,,,,10,,
"Comercio al por menor (120)",4403,,56,109,34,2792,,9,1,1402,,
"Hoteles y restaurantes (121)",1638,4,31,105,80,784,,,,634,,
"Trans., almac. y comunicaciones (122)",468,1,29,48,99,50,,,31,210,,
"Intermediación financiera (123)",146,,26,34,85,,,,,1,,
"Activid.inmobil., empres. y alquileres (124)",959,1,373,215,294,5,,,3,68,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",820,9,161,81,457,1,,2,5,87,17,
"Enseñanza (126)",2683,18,2487,28,137,,,,,13,,
"Servicios sociales y de salud (127)",854,,411,248,83,32,,2,,78,,
"Otras activ. serv.comun.soc y personales (128)",791,,55,61,113,127,,,,435,,
"Hogares privados con servicio doméstico (129)",1332,,,,,,,,,1332,,
"Actividad economica no especificada (131)",428,,,,9,,,,,,,419
,,,,,,,,,,,,
"RURAL (132)",10920,9,227,95,130,460,4832,512,728,3775,4,148
"Agric., ganadería, caza y silvicultura (133)",7316,,,4,,,4831,1,,2480,,
"Pesca (134)",4,,,,,,1,,,3,,
"Explotación de minas y canteras (135)",234,,11,7,18,,,120,8,70,,
"Industrias manufactureras (136)",321,,,3,2,1,,275,31,9,,
"Suministro de electricidad, gas y agua (137)",22,,,1,1,,,1,4,15,,
"Construcción (138)",1007,,5,8,7,,,17,426,544,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",615,,4,14,5,310,,89,3,190,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",102,,1,4,2,14,,77,2,2,,
"Comercio al por mayor (141)",33,,1,2,1,27,,,,2,,
"Comercio al por menor (142)",480,,2,8,2,269,,12,1,186,,
"Hoteles y restaurantes (143)",145,,,6,8,86,,,,45,,
"Trans., almac. y comunicaciones (144)",341,,,1,9,12,,1,243,75,,
"Intermediación financiera (145)",5,,,2,1,,,,,2,,
"Activid.inmobil., empres. y alquileres (146)",111,,19,9,17,43,,1,4,18,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",119,9,3,5,46,1,,1,5,45,4,
"Enseñanza (148)",170,,159,,7,,,,1,3,,
