"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia UTCUBAMBA (000)",25699,68,327,1023,2568,5591,11083,5039
"De 12 a 14 años (001)",37,,,,,,6,31
"De 15 a 19 años (002)",1082,,,,,,705,377
"De 20 a 24 años (003)",3253,,,,,21,2257,975
"De 25 a 29 años (004)",3714,,,,,250,2647,817
"De 30 a 34 años (005)",3513,,,,1,678,2251,583
"De 35 a 39 años (006)",3204,,,,33,1014,1708,449
"De 40 a 44 años (007)",2587,,,,164,1078,984,361
"De 45 a 49 años (008)",2145,,,8,337,1096,438,266
"De 50 y más años (009)",6164,68,327,1015,2033,1454,87,1180
"Conviviente (010)",12750,6,47,168,700,2319,7174,2336
"De 12 a 14 años (011)",26,,,,,,4,22
"De 15 a 19 años (012)",820,,,,,,531,289
"De 20 a 24 años (013)",2220,,,,,9,1653,558
"De 25 a 29 años (014)",2440,,,,,135,1852,453
"De 30 a 34 años (015)",2073,,,,,351,1420,302
"De 35 a 39 años (016)",1699,,,,18,482,1003,196
"De 40 a 44 años (017)",1164,,,,69,474,481,140
"De 45 a 49 años (018)",845,,,4,117,419,201,104
"De 50 y más años (019)",1463,6,47,164,496,449,29,272
"Separado(a) (020)",1735,7,17,90,196,450,608,367
"De 12 a 14 años (021)",4,,,,,,1,3
"De 15 a 19 años (022)",82,,,,,,50,32
"De 20 a 24 años (023)",217,,,,,4,158,55
"De 25 a 29 años (024)",196,,,,,29,122,45
"De 30 a 34 años (025)",227,,,,,60,130,37
"De 35 a 39 años (026)",216,,,,3,88,84,41
"De 40 a 44 años (027)",154,,,,12,72,37,33
"De 45 a 49 años (028)",160,,,,21,98,21,20
"De 50 y más años (029)",479,7,17,90,160,99,5,101
"Casado(a) (030)",7980,10,88,450,1240,2335,2743,1114
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",68,,,,,,38,30
"De 20 a 24 años (033)",394,,,,,5,285,104
"De 25 a 29 años (034)",708,,,,,53,549,106
"De 30 a 34 años (035)",965,,,,1,201,636,127
"De 35 a 39 años (036)",1042,,,,5,357,560,120
"De 40 a 44 años (037)",1040,,,,62,441,427,110
"De 45 a 49 años (038)",955,,,1,153,507,200,94
"De 50 y más años (039)",2807,10,88,449,1019,771,48,422
"Viudo(a) (040)",1565,41,166,289,351,250,112,356
"De 20 a 24 años (043)",13,,,,,,13,
"De 25 a 29 años (044)",23,,,,,2,15,6
"De 30 a 34 años (045)",39,,,,,8,22,9
"De 35 a 39 años (046)",69,,,,3,31,22,13
"De 40 a 44 años (047)",78,,,,5,37,25,11
"De 45 a 49 años (048)",111,,,1,31,50,11,18
