"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SECHURA (000)",16559,15469,1090
"Casa independiente (001)",15377,14668,709
"Departamento en edificio (002)",11,11,
"Vivienda en quinta (003)",4,4,
"Vivienda en casa de vecindad (004)",7,7,
"Choza o cabaña (005)",380,,380
"Vivienda improvisada (006)",768,768,
"Local no dest.para hab. humana (007)",10,9,1
"Otro tipo (008)",2,2,
