"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,2482,353,244,202
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",28,,6,6,16
"Profes., científicos e intelectuales (002)",417,111,125,138,43
"Técnicos de nivel medio y trab. asimilados (003)",33,14,2,2,15
"Jefes y empleados de oficina (004)",80,11,11,16,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",237,224,10,,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1344,1307,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",207,120,28,33,26
"Obreros construc.,conf.,papel, fab., instr. (008)",195,130,40,8,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",671,510,89,38,34
"Otra (010)",6,,,,6
"Ocupación no especificada (011)",63,55,5,3,
"Hombres (012)",2743,2105,286,200,152
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",27,,6,6,15
"Profes., científicos e intelectuales (014)",278,62,86,108,22
"Técnicos de nivel medio y trab. asimilados (015)",19,9,2,1,7
"Jefes y empleados de oficina (016)",57,10,8,11,28
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",89,80,7,,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1313,1280,33,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",171,95,18,32,26
"Obreros construc.,conf.,papel, fab., instr. (020)",193,129,39,8,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",567,420,86,32,29
"Otra (022)",6,,,,6
"Ocupación no especificada (023)",23,20,1,2,
"Mujeres (024)",538,377,67,44,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",1,,,,1
"Profes., científicos e intelectuales (026)",139,49,39,30,21
"Técnicos de nivel medio y trab. asimilados (027)",14,5,,1,8
"Jefes y empleados de oficina (028)",23,1,3,5,14
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",148,144,3,,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",31,27,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",36,25,10,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,1,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",104,90,3,6,5
"Ocupación no especificada (035)",40,35,4,1,
