"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CUSCO (000)",349453,13515,34115,36757,40159,73536,55737,75679,19955
"Sin nivel (001)",24716,13515,1601,251,185,509,849,3672,4134
"Educación inicial (002)",8937,,8525,179,69,86,78,,
"Primaria (003)",77650,,23989,20830,2415,4013,5884,14008,6511
"Secundaria (004)",117087,,,15497,28945,25569,18894,23460,4722
"Superior no univ. incompleto (005)",23205,,,,4100,11033,4357,3384,331
"Superior no univ. completo (006)",24516,,,,,9243,7815,6463,995
"Superior univ. incompleto (007)",30322,,,,4445,13970,4522,6816,569
"Superior univ. completo (008)",43020,,,,,9113,13338,17876,2693
"Hombres (010)",168149,6895,17353,18352,19318,35125,26006,35853,9247
"Sin nivel (011)",9446,6895,797,109,88,182,170,514,691
"Educación inicial (012)",4477,,4336,63,27,24,27,,
"Primaria (013)",34861,,12220,10404,907,1219,1873,4947,3291
"Secundaria (014)",59552,,,7776,14363,13071,9475,12323,2544
"Superior no univ. incompleto (015)",11123,,,,1781,5199,2142,1792,209
"Superior no univ. completo (016)",10613,,,,,3987,3431,2733,462
"Superior univ. incompleto (017)",16761,,,,2152,7637,2562,4009,401
"Superior univ. completo (018)",21316,,,,,3806,6326,9535,1649
"Mujeres (020)",181304,6620,16762,18405,20841,38411,29731,39826,10708
"Sin nivel (021)",15270,6620,804,142,97,327,679,3158,3443
"Educación inicial (022)",4460,,4189,116,42,62,51,,
"Primaria (023)",42789,,11769,10426,1508,2794,4011,9061,3220
"Secundaria (024)",57535,,,7721,14582,12498,9419,11137,2178
"Superior no univ. incompleto (025)",12082,,,,2319,5834,2215,1592,122
"Superior no univ. completo (026)",13903,,,,,5256,4384,3730,533
"Superior univ. incompleto (027)",13561,,,,2293,6333,1960,2807,168
"Superior univ. completo (028)",21704,,,,,5307,7012,8341,1044
,,,,,,,,,
"URBANA (030)",334457,12704,31937,34570,38619,71304,53444,72737,19142
"Sin nivel (031)",22194,12704,1481,240,170,425,638,2944,3592
"Educación inicial (032)",8434,,8045,174,67,79,69,,
"Primaria (033)",70982,,22411,19324,2190,3369,4813,12580,6295
