"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUSCO (000)",357236,341229,16007
"Casa independiente (001)",282743,267790,14953
"Departamento en edificio (002)",20399,20399,
"Vivienda en quinta (003)",16408,16408,
"Vivienda en casa de vecindad (004)",35581,35581,
"Choza o cabaña (005)",1046,,1046
"Vivienda improvisada (006)",278,278,
"Local no dest.para hab. humana (007)",420,412,8
"Otro tipo (008)",361,361,
