"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",309306,16433,34181,41649,37458,58147,44726,63212,13500
"Sin nivel (001)",24509,16433,2477,366,299,597,614,2014,1709
"Educación inicial (002)",8222,,7755,216,64,105,82,,
"Primaria (003)",104493,,23949,26082,4620,7767,9581,23581,8913
"Secundaria (004)",120701,,,14985,28224,31186,20879,23452,1975
"Superior no univ. incompleto (005)",14550,,,,2375,6527,2953,2518,177
"Superior no univ. completo (006)",14554,,,,,4905,4664,4678,307
"Superior univ. incompleto (007)",9920,,,,1876,4168,1822,1978,76
"Superior univ. completo (008)",12357,,,,,2892,4131,4991,343
"Hombres (010)",156553,8449,17377,21230,18496,28632,21981,33228,7160
"Sin nivel (011)",11621,8449,1264,193,143,278,223,586,485
"Educación inicial (012)",4138,,3929,115,24,35,35,,
"Primaria (013)",50105,,12184,13480,2241,3159,3841,10480,4720
"Secundaria (014)",63219,,,7442,14059,15928,10785,13677,1328
"Superior no univ. incompleto (015)",7674,,,,1125,3224,1610,1587,128
"Superior no univ. completo (016)",7078,,,,,2320,2160,2403,195
"Superior univ. incompleto (017)",5734,,,,904,2312,1090,1367,61
"Superior univ. completo (018)",6984,,,,,1376,2237,3128,243
"Mujeres (020)",152753,7984,16804,20419,18962,29515,22745,29984,6340
"Sin nivel (021)",12888,7984,1213,173,156,319,391,1428,1224
"Educación inicial (022)",4084,,3826,101,40,70,47,,
"Primaria (023)",54388,,11765,12602,2379,4608,5740,13101,4193
"Secundaria (024)",57482,,,7543,14165,15258,10094,9775,647
"Superior no univ. incompleto (025)",6876,,,,1250,3303,1343,931,49
"Superior no univ. completo (026)",7476,,,,,2585,2504,2275,112
"Superior univ. incompleto (027)",4186,,,,972,1856,732,611,15
"Superior univ. completo (028)",5373,,,,,1516,1894,1863,100
,,,,,,,,,
"URBANA (030)",261958,13349,27694,34765,31939,49848,38545,54342,11476
"Sin nivel (031)",18568,13349,1798,260,190,340,366,1091,1174
"Educación inicial (032)",6922,,6505,200,56,93,68,,
"Primaria (033)",80049,,19391,20817,2871,4865,6603,17937,7565
