"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OCROS (000)",2566,2465,15,425,492,433,579,332,142,47,101,9072
"De 15 a 19 años (002)",43,37,,30,7,,,,,,6,44
"De 20 a 24 años (003)",208,176,,103,56,17,,,,,32,266
"De 25 a 29 años (004)",243,224,,80,86,38,20,,,,19,448
"De 30 a 34 años (005)",255,243,,49,79,64,41,10,,,12,636
"De 35 a 39 años (006)",236,228,1,26,55,53,71,20,2,,8,741
"De 40 a 44 años (007)",230,225,,25,35,48,65,27,23,2,5,910
"De 45 a 49 años (008)",231,228,1,18,36,40,65,45,18,5,3,985
"De 50 y más años (009)",1120,1104,13,94,138,173,317,230,99,40,16,5042
"Sin nivel (010)",368,362,1,36,46,60,95,70,44,10,6,1662
"De 20 a 24 años (013)",3,3,,1,2,,,,,,,5
"De 25 a 29 años (014)",7,7,,4,1,1,1,,,,,13
"De 30 a 34 años (015)",20,19,,3,4,8,4,,,,1,51
"De 35 a 39 años (016)",16,16,,,2,5,5,4,,,,65
"De 40 a 44 años (017)",20,19,,1,2,4,5,2,4,1,1,99
"De 45 a 49 años (018)",22,22,,2,4,3,6,5,1,1,,94
"De 50 y más años (019)",280,276,1,25,31,39,74,59,39,8,4,1335
"Educacion Inicial (020)",1,,,,,,,,,,1,
"De 20 a 24 años (023)",1,,,,,,,,,,1,
"Primaria (030)",1242,1221,10,118,198,225,345,212,81,32,21,5089
"De 15 a 19 años (032)",11,9,,6,3,,,,,,2,12
"De 20 a 24 años (033)",51,51,,20,23,8,,,,,,90
"De 25 a 29 años (034)",77,75,,20,25,19,11,,,,2,172
"De 30 a 34 años (035)",84,82,,9,21,27,15,10,,,2,256
