"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CORONEL PORTILLO (000)",72167,328463,60844,277747,11323,50716
"Casa independiente (001)",63918,297160,56441,263644,7477,33516
"Departamento en edificio (002)",428,1311,428,1311,,
"Vivienda en quinta (003)",2532,7464,2532,7464,,
"Vivienda en casa de vecindad (004)",525,1951,525,1951,,
"Choza o cabaña (005)",3832,17128,,,3832,17128
"Vivienda improvisada (006)",796,3049,796,3049,,
"Local no dest.para hab. humana (007)",106,281,102,266,4,15
"Otro tipo (008)",30,119,20,62,10,57
