"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MELGAR (000)",70392,3449,9031,9901,7710,11254,9117,14476,5454
"Sabe leer y escribir (001)",58346,,7122,9847,7666,11079,8752,11597,2283
"No sabe leer y escribir (002)",12046,3449,1909,54,44,175,365,2879,3171
"Hombres (004)",34195,1737,4453,5109,3777,5426,4224,6970,2499
"Sabe leer y escribir (005)",29994,,3490,5081,3765,5377,4148,6466,1667
"No sabe leer y escribir (006)",4201,1737,963,28,12,49,76,504,832
"Mujeres (008)",36197,1712,4578,4792,3933,5828,4893,7506,2955
"Sabe leer y escribir (009)",28352,,3632,4766,3901,5702,4604,5131,616
"No sabe leer y escribir (010)",7845,1712,946,26,32,126,289,2375,2339
,,,,,,,,,
"URBANA (012)",33572,1489,4217,4883,4013,5592,4704,6473,2201
"Sabe leer y escribir (013)",28933,,3448,4861,3997,5535,4575,5511,1006
"No sabe leer y escribir (014)",4639,1489,769,22,16,57,129,962,1195
"Hombres (016)",16089,729,2073,2516,1989,2654,2101,3100,927
"Sabe leer y escribir (017)",14479,,1666,2502,1984,2642,2084,2948,653
"No sabe leer y escribir (018)",1610,729,407,14,5,12,17,152,274
"Mujeres (020)",17483,760,2144,2367,2024,2938,2603,3373,1274
"Sabe leer y escribir (021)",14454,,1782,2359,2013,2893,2491,2563,353
"No sabe leer y escribir (022)",3029,760,362,8,11,45,112,810,921
,,,,,,,,,
"RURAL (024)",36820,1960,4814,5018,3697,5662,4413,8003,3253
"Sabe leer y escribir (025)",29413,,3674,4986,3669,5544,4177,6086,1277
"No sabe leer y escribir (026)",7407,1960,1140,32,28,118,236,1917,1976
"Hombres (028)",18106,1008,2380,2593,1788,2772,2123,3870,1572
"Sabe leer y escribir (029)",15515,,1824,2579,1781,2735,2064,3518,1014
"No sabe leer y escribir (030)",2591,1008,556,14,7,37,59,352,558
"Mujeres (032)",18714,952,2434,2425,1909,2890,2290,4133,1681
"Sabe leer y escribir (033)",13898,,1850,2407,1888,2809,2113,2568,263
"No sabe leer y escribir (034)",4816,952,584,18,21,81,177,1565,1418
