"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TUMBES (000)",52713,48480,12765,8430,8498,6428,6211,3039,1588,1521,4233,122177
"De 12 a 14 años (001)",4259,4195,4173,19,3,,,,,,64,25
"De 15 a 19 años (002)",6723,6337,5357,873,86,16,5,,,,386,1113
"De 20 a 24 años (003)",6704,5306,1680,2539,884,167,32,4,,,1398,4966
"De 25 a 29 años (004)",6255,5282,492,1990,1858,705,214,20,3,,973,8873
"De 30 a 34 años (005)",5626,5160,270,1102,1891,1265,563,57,8,4,466,11537
"De 35 a 39 años (006)",5187,4895,185,651,1464,1363,1010,193,22,7,292,13504
"De 40 a 44 años (007)",4483,4293,150,388,977,1151,1194,341,72,20,190,13942
"De 45 a 49 años (008)",3631,3488,108,301,558,768,1091,489,133,40,143,13211
"De 50 y más años (009)",9845,9524,350,567,777,993,2102,1935,1350,1450,321,55006
"Sin nivel (010)",1668,1550,146,86,108,130,239,258,230,353,118,9453
"De 12 a 14 años (011)",39,39,39,,,,,,,,,
"De 15 a 19 años (012)",47,44,43,1,,,,,,,3,1
"De 20 a 24 años (013)",46,33,11,11,8,2,1,,,,13,37
"De 25 a 29 años (014)",62,42,9,7,14,4,7,1,,,20,84
"De 30 a 34 años (015)",92,72,3,7,27,19,12,3,,1,20,200
"De 35 a 39 años (016)",91,81,7,5,14,28,21,5,,1,10,251
"De 40 a 44 años (017)",117,102,4,9,7,21,35,15,7,4,15,432
"De 45 a 49 años (018)",108,98,2,8,6,14,28,22,13,5,10,500
"De 50 y más años (019)",1066,1039,28,38,32,42,135,212,210,342,27,7948
"Educacion Inicial (020)",80,75,44,11,9,4,6,1,,,5,72
"De 12 a 14 años (021)",24,24,23,,1,,,,,,,2
