"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CUTERVO (000)",48750,46942,14656,6118,5553,4212,5836,4195,3082,3290,1808,146345
"De 12 a 14 años (001)",5702,5663,5637,24,2,,,,,,39,28
"De 15 a 19 años (002)",6794,6632,5651,816,151,12,2,,,,162,1162
"De 20 a 24 años (003)",5341,4829,1594,1871,1000,294,67,3,,,512,5050
"De 25 a 29 años (004)",5024,4634,558,1358,1368,779,514,52,5,,390,8988
"De 30 a 34 años (005)",4470,4297,264,705,1059,931,993,280,52,13,173,12324
"De 35 a 39 años (006)",4339,4195,204,461,744,790,1152,585,209,50,144,15472
"De 40 a 44 años (007)",3608,3489,139,238,440,517,935,701,365,154,119,16054
"De 45 a 49 años (008)",3101,3036,116,162,268,330,689,659,471,341,65,16793
"De 50 y más años (009)",10371,10167,493,483,521,559,1484,1915,1980,2732,204,70474
"Conviviente (010)",14820,14495,1052,3063,2691,1902,2403,1540,950,894,325,52868
"De 12 a 14 años (011)",72,42,26,16,,,,,,,30,16
"De 15 a 19 años (012)",1213,1073,388,564,112,8,1,,,,140,816
"De 20 a 24 años (013)",2454,2363,291,1156,671,199,45,1,,,91,3289
"De 25 a 29 años (014)",2506,2479,128,692,805,489,330,33,2,,27,5402
"De 30 a 34 años (015)",2089,2079,53,284,513,485,549,164,26,5,10,6496
"De 35 a 39 años (016)",1803,1799,35,156,310,337,546,297,95,23,4,7172
"De 40 a 44 años (017)",1348,1345,27,64,120,178,388,327,176,65,3,6845
"De 45 a 49 años (018)",1008,1003,28,41,68,87,229,232,187,131,5,5995
"De 50 y más años (019)",2327,2312,76,90,92,119,315,486,464,670,15,16837
"Separado(a) (020)",2235,2210,38,688,478,272,339,215,102,78,25,7100
"De 12 a 14 años (021)",6,5,,4,1,,,,,,1,6
