"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN PABLO (000)",6208,5981,26,1245,1137,885,1229,835,472,152,227,22567
"De 12 a 14 años (001)",7,2,,2,,,,,,,5,2
"De 15 a 19 años (002)",241,222,2,194,23,1,2,,,,19,251
"De 20 a 24 años (003)",640,573,5,345,169,43,11,,,,67,856
"De 25 a 29 años (004)",716,661,3,246,243,122,45,2,,,55,1300
"De 30 a 34 años (005)",688,666,,149,214,153,128,22,,,22,1728
"De 35 a 39 años (006)",762,740,1,86,195,183,185,75,14,1,22,2432
"De 40 a 44 años (007)",607,592,1,65,90,104,196,94,36,6,15,2384
"De 45 a 49 años (008)",513,505,2,26,61,75,168,105,48,20,8,2409
"De 50 y más años (009)",2034,2020,12,132,142,204,494,537,374,125,14,11205
"Conviviente (010)",2665,2623,7,573,573,403,520,331,162,54,42,9272
"De 12 a 14 años (011)",6,1,,1,,,,,,,5,1
"De 15 a 19 años (012)",156,140,1,119,18,1,1,,,,16,162
"De 20 a 24 años (013)",349,340,4,186,115,28,7,,,,9,528
"De 25 a 29 años (014)",395,389,,133,154,74,26,2,,,6,785
"De 30 a 34 años (015)",365,363,,65,113,85,83,17,,,2,1012
"De 35 a 39 años (016)",364,363,1,19,85,97,100,52,8,1,1,1317
"De 40 a 44 años (017)",265,263,,20,35,46,89,51,19,3,2,1123
"De 45 a 49 años (018)",197,197,,3,18,22,66,55,23,10,,1058
"De 50 y más años (019)",568,567,1,27,35,50,148,154,112,40,1,3286
"Separado(a) (020)",598,596,3,253,123,84,86,33,9,5,2,1475
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",39,38,,34,3,,1,,,,1,44
"De 20 a 24 años (023)",73,73,,55,14,4,,,,,,95
