"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAMANA (000)",14463,52061,11735,43808,2728,8253
"Casa independiente (001)",12672,46744,11031,41576,1641,5168
"Departamento en edificio (002)",231,782,231,782,,
"Vivienda en quinta (003)",129,372,129,372,,
"Vivienda en casa de vecindad (004)",202,629,202,629,,
"Choza o cabaña (005)",1072,3054,,,1072,3054
"Vivienda improvisada (006)",104,367,104,367,,
"Local no dest.para hab. humana (007)",17,40,13,31,4,9
"Otro tipo (008)",36,73,25,51,11,22
