"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LA MAR (000)",19802,19281,105,3668,3355,3022,4775,2898,1190,268,521,71966
"De 12 a 14 años (001)",42,19,,17,2,,,,,,23,21
"De 15 a 19 años (002)",1026,935,10,779,132,10,4,,,,91,1089
"De 20 a 24 años (003)",2310,2170,10,1154,745,197,57,7,,,140,3519
"De 25 a 29 años (004)",2582,2468,9,627,808,636,350,37,1,,114,5872
"De 30 a 34 años (005)",2487,2447,6,309,504,583,823,198,23,1,40,8094
"De 35 a 39 años (006)",2408,2382,2,198,354,462,843,428,88,7,26,9562
"De 40 a 44 años (007)",2082,2071,8,114,179,270,679,560,228,33,11,10197
"De 45 a 49 años (008)",1715,1704,7,99,130,201,506,458,243,60,11,8832
"De 50 y más años (009)",5150,5085,53,371,501,663,1513,1210,607,167,65,24780
"Conviviente (010)",6297,6137,28,2034,1643,1017,944,355,101,15,160,15736
"De 12 a 14 años (011)",33,15,,13,2,,,,,,18,17
"De 15 a 19 años (012)",744,668,7,549,104,8,,,,,76,781
"De 20 a 24 años (013)",1531,1503,6,787,552,127,28,3,,,28,2411
"De 25 a 29 años (014)",1419,1401,5,389,485,359,149,14,,,18,3149
"De 30 a 34 años (015)",973,967,2,146,257,245,256,55,6,,6,2904
"De 35 a 39 años (016)",678,675,1,67,135,142,223,96,11,,3,2440
"De 40 a 44 años (017)",386,386,2,32,40,57,139,87,26,3,,1706
"De 45 a 49 años (018)",232,231,1,20,22,37,71,48,26,6,1,1076
"De 50 y más años (019)",301,291,4,31,46,42,78,52,32,6,10,1252
"Separado(a) (020)",1023,1008,6,353,244,131,173,75,22,4,15,2708
"De 12 a 14 años (021)",3,,,,,,,,,,3,
"De 15 a 19 años (022)",104,99,1,89,9,,,,,,5,107
