"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",6925,57,201,465,824,1516,2545,1317
"De 12 a 14 años (001)",14,,,,,,2,12
"De 15 a 19 años (002)",253,,,,,,167,86
"De 20 a 24 años (003)",741,,,,,4,508,229
"De 25 a 29 años (004)",839,,,,,58,596,185
"De 30 a 34 años (005)",821,,,,,163,532,126
"De 35 a 39 años (006)",799,,,,8,296,391,104
"De 40 a 44 años (007)",715,,,,59,334,231,91
"De 45 a 49 años (008)",578,,,5,103,307,98,65
"De 50 y más años (009)",2165,57,201,460,654,354,20,419
"PEA (010)",1422,,12,46,158,402,485,319
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",28,,,,,,15,13
"De 20 a 24 años (013)",120,,,,,1,77,42
"De 25 a 29 años (014)",181,,,,,18,107,56
"De 30 a 34 años (015)",207,,,,,39,116,52
"De 35 a 39 años (016)",215,,,,2,86,89,38
"De 40 a 44 años (017)",231,,,,22,119,57,33
"De 45 a 49 años (018)",147,,,4,30,68,19,26
"De 50 y más años (019)",291,,12,42,104,71,5,57
"Ocupada (020)",1398,,11,45,157,399,477,309
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",25,,,,,,14,11
"De 20 a 24 años (023)",117,,,,,1,75,41
"De 25 a 29 años (024)",177,,,,,18,106,53
"De 30 a 34 años (025)",203,,,,,39,113,51
"De 35 a 39 años (026)",212,,,,2,85,88,37
"De 40 a 44 años (027)",231,,,,22,119,57,33
"De 45 a 49 años (028)",145,,,4,29,67,19,26
"De 50 y más años (029)",286,,11,41,104,70,5,55
"Desocupada (030)",24,,1,1,1,3,8,10
"De 15 a 19 años (032)",3,,,,,,1,2
"De 20 a 24 años (033)",3,,,,,,2,1
"De 25 a 29 años (034)",4,,,,,,1,3
"De 30 a 34 años (035)",4,,,,,,3,1
"De 35 a 39 años (036)",3,,,,,1,1,1
"De 45 a 49 años (038)",2,,,,1,1,,
"De 50 y más años (039)",5,,1,1,,1,,2
"No PEA (040)",5503,57,189,419,666,1114,2060,998
"De 12 a 14 años (041)",12,,,,,,2,10
"De 15 a 19 años (042)",225,,,,,,152,73
"De 20 a 24 años (043)",621,,,,,3,431,187
"De 25 a 29 años (044)",658,,,,,40,489,129
"De 30 a 34 años (045)",614,,,,,124,416,74
"De 35 a 39 años (046)",584,,,,6,210,302,66
"De 40 a 44 años (047)",484,,,,37,215,174,58
"De 45 a 49 años (048)",431,,,1,73,239,79,39
"De 50 y más años (049)",1874,57,189,418,550,283,15,362
,,,,,,,,
