"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAYTARA (000)",21756,6453,15303
"Casa independiente (001)",17146,6253,10893
"Departamento en edificio (002)",24,24,
"Vivienda en quinta (003)",61,61,
"Vivienda en casa de vecindad (004)",105,105,
"Choza o cabaña (005)",4387,,4387
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",18,4,14
"Otro tipo (008)",10,1,9
