"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",18352,914,2232,2278,1632,2570,2440,4383,1903
"Sabe leer y escribir (001)",15268,,1645,2255,1603,2497,2329,3726,1213
"No sabe leer y escribir (002)",3084,914,587,23,29,73,111,657,690
"Hombres (004)",9605,470,1141,1125,855,1445,1358,2376,835
"Sabe leer y escribir (005)",8541,,838,1113,844,1420,1328,2254,744
"No sabe leer y escribir (006)",1064,470,303,12,11,25,30,122,91
"Mujeres (008)",8747,444,1091,1153,777,1125,1082,2007,1068
"Sabe leer y escribir (009)",6727,,807,1142,759,1077,1001,1472,469
"No sabe leer y escribir (010)",2020,444,284,11,18,48,81,535,599
,,,,,,,,,
"URBANA (012)",5834,229,554,609,558,980,911,1457,536
"Sabe leer y escribir (013)",5220,,438,602,550,974,899,1351,406
"No sabe leer y escribir (014)",614,229,116,7,8,6,12,106,130
"Hombres (016)",3174,115,285,279,310,584,519,845,237
"Sabe leer y escribir (017)",2949,,222,275,309,581,514,820,228
"No sabe leer y escribir (018)",225,115,63,4,1,3,5,25,9
"Mujeres (020)",2660,114,269,330,248,396,392,612,299
"Sabe leer y escribir (021)",2271,,216,327,241,393,385,531,178
"No sabe leer y escribir (022)",389,114,53,3,7,3,7,81,121
,,,,,,,,,
"RURAL (024)",12518,685,1678,1669,1074,1590,1529,2926,1367
"Sabe leer y escribir (025)",10048,,1207,1653,1053,1523,1430,2375,807
"No sabe leer y escribir (026)",2470,685,471,16,21,67,99,551,560
"Hombres (028)",6431,355,856,846,545,861,839,1531,598
"Sabe leer y escribir (029)",5592,,616,838,535,839,814,1434,516
"No sabe leer y escribir (030)",839,355,240,8,10,22,25,97,82
"Mujeres (032)",6087,330,822,823,529,729,690,1395,769
"Sabe leer y escribir (033)",4456,,591,815,518,684,616,941,291
"No sabe leer y escribir (034)",1631,330,231,8,11,45,74,454,478
