"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANCAYO (000)",211810,183901,27909
"De 3 a 5 años (001)",26861,2966,23895
"De 6 a 11 años (002)",57667,54368,3299
"De 12 a 16 años (003)",52208,51953,255
"De 17 a 24 años (004)",75074,74614,460
"Hombres (005)",105320,91287,14033
"De 3 a 5 años (006)",13641,1523,12118
"De 6 a 11 años (007)",29260,27621,1639
"De 12 a 16 años (008)",26046,25934,112
"De 17 a 24 años (009)",36373,36209,164
"Mujeres (010)",106490,92614,13876
"De 3 a 5 años (011)",13220,1443,11777
"De 6 a 11 años (012)",28407,26747,1660
"De 12 a 16 años (013)",26162,26019,143
"De 17 a 24 años (014)",38701,38405,296
,,,
"URBANA (015)",185638,162189,23449
"De 3 a 5 años (016)",23007,2662,20345
"De 6 a 11 años (017)",49460,46894,2566
"De 12 a 16 años (018)",45486,45276,210
"De 17 a 24 años (019)",67685,67357,328
"Hombres (020)",92204,80400,11804
"De 3 a 5 años (021)",11682,1365,10317
"De 6 a 11 años (022)",25068,23793,1275
"De 12 a 16 años (023)",22684,22590,94
"De 17 a 24 años (024)",32770,32652,118
"Mujeres (025)",93434,81789,11645
"De 3 a 5 años (026)",11325,1297,10028
"De 6 a 11 años (027)",24392,23101,1291
"De 12 a 16 años (028)",22802,22686,116
"De 17 a 24 años (029)",34915,34705,210
,,,
"RURAL (030)",26172,21712,4460
"De 3 a 5 años (031)",3854,304,3550
"De 6 a 11 años (032)",8207,7474,733
"De 12 a 16 años (033)",6722,6677,45
"De 17 a 24 años (034)",7389,7257,132
"Hombres (035)",13116,10887,2229
"De 3 a 5 años (036)",1959,158,1801
"De 6 a 11 años (037)",4192,3828,364
"De 12 a 16 años (038)",3362,3344,18
"De 17 a 24 años (039)",3603,3557,46
"Mujeres (040)",13056,10825,2231
"De 3 a 5 años (041)",1895,146,1749
"De 6 a 11 años (042)",4015,3646,369
"De 12 a 16 años (043)",3360,3333,27
"De 17 a 24 años (044)",3786,3700,86
