"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARCOS (000)",14442,12749,974,356,363
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,4,4,16
"Profes., científicos e intelectuales (002)",910,295,364,168,83
"Técnicos de nivel medio y trab. asimilados (003)",199,109,39,20,31
"Jefes y empleados de oficina (004)",207,56,18,25,108
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",923,864,37,14,8
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6082,6012,67,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",529,479,36,9,5
"Obreros construc.,conf.,papel, fab., instr. (008)",550,434,61,32,23
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4472,4035,315,66,56
"Otra (010)",24,,,,24
"Ocupación no especificada (011)",522,465,33,17,7
"Hombres (012)",11370,10227,653,239,251
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",22,,3,3,16
"Profes., científicos e intelectuales (014)",485,144,207,95,39
"Técnicos de nivel medio y trab. asimilados (015)",136,85,22,11,18
"Jefes y empleados de oficina (016)",108,21,9,12,66
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",452,416,21,10,5
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5843,5776,64,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",425,382,29,9,5
"Obreros construc.,conf.,papel, fab., instr. (020)",537,423,60,31,23
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3059,2748,212,52,47
"Otra (022)",24,,,,24
"Ocupación no especificada (023)",279,232,26,15,6
"Mujeres (024)",3072,2522,321,117,112
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,,1,1,
"Profes., científicos e intelectuales (026)",425,151,157,73,44
"Técnicos de nivel medio y trab. asimilados (027)",63,24,17,9,13
"Jefes y empleados de oficina (028)",99,35,9,13,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",471,448,16,4,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",239,236,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",104,97,7,,
"Obreros construc.,conf.,papel, fab., instr. (032)",13,11,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1413,1287,103,14,9
