"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL CACERES (000)",20469,812,23,9307,7064,747,1267,407,842
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",43,,,3,9,2,10,5,14
"Profes., científicos e intelectuales (002)",1268,,,,26,93,526,99,524
"Técnicos de nivel medio ytrab.asimilados (003)",536,3,,46,149,77,173,42,46
"Jefes y empleados de oficina (004)",565,,,4,225,93,132,48,63
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2056,33,1,595,1046,132,128,73,48
"Agricult.trabaj. calif.agrop. y pesquros (006)",7010,335,3,4457,2044,64,51,32,24
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",980,10,1,282,522,62,58,23,22
"Obreros. construc., conf., papel, fab., instr (008)",1226,10,,277,764,62,55,29,29
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",6141,395,17,3409,2075,96,79,42,28
"Otra (010)",134,,,,19,43,35,7,30
"Ocupación no especificada (011)",510,26,1,234,185,23,20,7,14
"Hombres (012)",15061,532,14,7136,5350,479,713,285,552
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",28,,,2,8,,4,5,9
"Profes., científicos e intelectuales (014)",663,,,,15,39,258,49,302
"Técnicos de nivel medio ytrab.asimilados (015)",375,3,,30,107,63,105,33,34
"Jefes y empleados de oficina (016)",277,,,1,123,31,53,25,44
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",921,9,,234,478,63,57,48,32
"Agricult.trabaj. calif.agrop. y pesquros (018)",6503,274,3,4132,1934,60,45,31,24
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",844,10,1,236,453,52,50,22,20
"Obreros. construc., conf., papel, fab., instr (020)",1210,9,,271,757,62,55,28,28
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3901,219,10,2141,1376,57,43,32,23
"Otra (022)",130,,,,18,43,34,7,28
"Ocupación no especificada (023)",209,8,,89,81,9,9,5,8
"Mujeres (024)",5408,280,9,2171,1714,268,554,122,290
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",15,,,1,1,2,6,,5
"Profes., científicos e intelectuales (026)",605,,,,11,54,268,50,222
"Técnicos de nivel medio ytrab.asimilados (027)",161,,,16,42,14,68,9,12
"Jefes y empleados de oficina (028)",288,,,3,102,62,79,23,19
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1135,24,1,361,568,69,71,25,16
"Agricult.trabaj. calif.agrop. y pesquros (030)",507,61,,325,110,4,6,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",136,,,46,69,10,8,1,2
"Obreros. construc., conf., papel, fab., instr (032)",16,1,,6,7,,,1,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2240,176,7,1268,699,39,36,10,5
"Otra (034)",4,,,,1,,1,,2
"Ocupación no especificada (035)",301,18,1,145,104,14,11,2,6
,,,,,,,,,
"URBANA (036)",12879,290,16,4496,5107,664,1151,356,799
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",42,,,3,9,2,9,5,14
