"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia PADRE ABAD (000)",50590,27999,22591,26722,14309,12413,23868,13690,10178
"Menores de 1 año (001)",1280,675,605,605,305,300,675,370,305
"Menores de 1 mes (002)",103,52,51,54,30,24,49,22,27
"De 1 a 11 meses (003)",1177,623,554,551,275,276,626,348,278
"De 1 a 4 años (004)",5139,2658,2481,2441,1234,1207,2698,1424,1274
"1 año (005)",1264,645,619,611,306,305,653,339,314
"2 años (006)",1394,741,653,683,366,317,711,375,336
"3 años (007)",1235,645,590,579,286,293,656,359,297
"4 años (008)",1246,627,619,568,276,292,678,351,327
"De 5 a 9 años (009)",5486,2837,2649,2633,1365,1268,2853,1472,1381
"5 años (010)",1110,593,517,537,287,250,573,306,267
"6 años (011)",971,478,493,439,219,220,532,259,273
"7 años (012)",1191,628,563,578,310,268,613,318,295
"8 años (013)",1141,593,548,540,279,261,601,314,287
"9 años (014)",1073,545,528,539,270,269,534,275,259
"De 10 a 14 años (015)",6112,3188,2924,3336,1634,1702,2776,1554,1222
"10 años (016)",1207,638,569,640,326,314,567,312,255
"11 años (017)",1172,587,585,638,313,325,534,274,260
"12 años (018)",1282,704,578,698,352,346,584,352,232
"13 años (019)",1226,619,607,660,310,350,566,309,257
"14 años (020)",1225,640,585,700,333,367,525,307,218
"De 15 a 19 años (021)",5335,2824,2511,3033,1508,1525,2302,1316,986
"15 años (022)",1199,616,583,711,353,358,488,263,225
"16 años (023)",1080,556,524,603,284,319,477,272,205
"17 años (024)",1074,607,467,606,313,293,468,294,174
"18 años (025)",1029,574,455,559,297,262,470,277,193
"19 años (026)",953,471,482,554,261,293,399,210,189
"De 20 a 24 años (027)",4848,2685,2163,2659,1430,1229,2189,1255,934
"20 años (028)",1199,646,553,684,354,330,515,292,223
"21 años (029)",849,479,370,492,271,221,357,208,149
"22 años (030)",959,509,450,490,251,239,469,258,211
"23 años (031)",952,534,418,529,284,245,423,250,173
"24 años (032)",889,517,372,464,270,194,425,247,178
"De 25 a 29 años (033)",4332,2397,1935,2337,1241,1096,1995,1156,839
"25 años (034)",947,537,410,542,306,236,405,231,174
"26 años (035)",773,432,341,390,201,189,383,231,152
"27 años (036)",929,506,423,478,235,243,451,271,180
"28 años (037)",910,498,412,492,268,224,418,230,188
"29 años (038)",773,424,349,435,231,204,338,193,145
"De 30 a 34 años (039)",3795,2126,1669,2143,1183,960,1652,943,709
"30 años (040)",1065,575,490,608,307,301,457,268,189
"31 años (041)",571,306,265,335,180,155,236,126,110
"32 años (042)",756,449,307,414,246,168,342,203,139
"33 años (043)",729,425,304,421,249,172,308,176,132
"34 años (044)",674,371,303,365,201,164,309,170,139
