"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SATIPO (000)",70150,1983,29093,23455,13253,2366
"Agric., ganadería, caza y silvicultura (001)",48049,1589,20342,15114,9092,1912
"Pesca (002)",18,3,9,3,3,
"Explotación de minas y canteras (003)",75,,23,34,18,
"Industrias manufactureras (004)",2027,40,894,670,376,47
"Suministro de electricidad, gas y agua (005)",55,2,19,24,10,
"Construcción (006)",1217,7,412,462,302,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5632,131,1881,2132,1310,178
"Venta, mant.y rep. veh.autom.y motoc. (008)",663,13,271,228,138,13
"Comercio al por mayor (009)",277,1,100,123,48,5
"Comercio al por menor (010)",4692,117,1510,1781,1124,160
"Hoteles y restaurantes (011)",2067,89,889,640,397,52
"Trans., almac. y comunicaciones (012)",2735,18,1322,995,383,17
"Intermediación financiera (013)",51,,30,12,9,
"Activid.inmobil., empres. y alquileres (014)",1048,6,452,405,164,21
"Admin.pub. y defensa; p. segur.soc.afil (015)",1154,,506,429,212,7
"Enseñanza (016)",2373,,580,1366,418,9
"Servicios sociales y de salud (017)",576,,224,246,100,6
"Otras activ. serv.comun.soc y personales (018)",640,21,244,231,124,20
"Hogares privados con servicio doméstico (019)",1058,63,645,224,105,21
"Actividad economica no especificada (021)",1375,14,621,468,230,42
"Hombres (022)",53836,1352,22325,17767,10342,2050
"Agric., ganadería, caza y silvicultura (023)",41254,1159,17459,13059,7799,1778
"Pesca (024)",15,2,7,3,3,
"Explotación de minas y canteras (025)",74,,23,34,17,
"Industrias manufactureras (026)",1652,26,749,531,308,38
"Suministro de electricidad, gas y agua (027)",53,2,18,23,10,
"Construcción (028)",1164,7,391,436,297,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2716,73,948,965,628,102
"Venta, mant.y rep. veh.autom.y motoc. (030)",570,11,225,198,124,12
"Comercio al por mayor (031)",154,1,52,72,25,4
"Comercio al por menor (032)",1992,61,671,695,479,86
"Hoteles y restaurantes (033)",562,35,234,156,118,19
"Trans., almac. y comunicaciones (034)",2604,16,1235,967,369,17
"Intermediación financiera (035)",28,,13,8,7,
"Activid.inmobil., empres. y alquileres (036)",785,5,315,313,133,19
"Admin.pub. y defensa; p. segur.soc.afil (037)",831,,314,333,177,7
"Enseñanza (038)",1148,,216,657,270,5
"Servicios sociales y de salud (039)",261,,86,103,69,3
