"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ASUNCION (000)",2278,24,646,846,555,207
"Agric., ganadería, caza y silvicultura (001)",1065,13,259,304,336,153
"Explotación de minas y canteras (003)",9,,4,3,2,
"Industrias manufactureras (004)",202,1,84,94,17,6
"Suministro de electricidad, gas y agua (005)",9,,4,4,1,
"Construcción (006)",123,1,46,47,24,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",154,6,35,53,44,16
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,6,11,,
"Comercio al por mayor (009)",3,1,,1,1,
"Comercio al por menor (010)",134,5,29,41,43,16
"Hoteles y restaurantes (011)",57,2,21,16,16,2
"Trans., almac. y comunicaciones (012)",27,,9,13,5,
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",53,,14,29,10,
"Admin.pub. y defensa; p. segur.soc.afil (015)",32,,9,17,5,1
"Enseñanza (016)",233,,36,157,40,
"Servicios sociales y de salud (017)",58,,19,33,6,
"Otras activ. serv.comun.soc y personales (018)",70,,34,28,7,1
"Hogares privados con servicio doméstico (019)",69,1,33,15,13,7
"Actividad economica no especificada (021)",116,,38,33,29,16
"Hombres (022)",1694,16,459,614,443,162
"Agric., ganadería, caza y silvicultura (023)",978,11,238,282,312,135
"Explotación de minas y canteras (025)",9,,4,3,2,
"Industrias manufactureras (026)",180,1,79,80,16,4
"Suministro de electricidad, gas y agua (027)",9,,4,4,1,
"Construcción (028)",118,1,45,45,22,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",82,2,20,29,25,6
"Venta, mant.y rep. veh.autom.y motoc. (030)",17,,6,11,,
"Comercio al por mayor (031)",2,1,,,1,
"Comercio al por menor (032)",63,1,14,18,24,6
"Hoteles y restaurantes (033)",15,1,6,3,4,1
"Trans., almac. y comunicaciones (034)",23,,8,11,4,
"Activid.inmobil., empres. y alquileres (036)",37,,5,22,10,
"Admin.pub. y defensa; p. segur.soc.afil (037)",25,,8,13,3,1
"Enseñanza (038)",128,,10,90,28,
"Servicios sociales y de salud (039)",9,,2,5,2,
"Otras activ. serv.comun.soc y personales (040)",46,,25,17,3,1
"Hogares privados con servicio doméstico (041)",5,,2,2,,1
"Actividad economica no especificada (043)",30,,3,8,11,8
"Mujeres (045)",584,8,187,232,112,45
"Agric., ganadería, caza y silvicultura (046)",87,2,21,22,24,18
